# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
4 762	0 1	1	1
5 1060	0 1	1	1
5 1452	0 1	1	1
6 942	0 1	1	1
7 4633	0 1	1	1
6 1803	0 1	1	1
0 618	0 2	1	1
1 4159	0 2	1	1
2 590	0 2	1	1
5 3996	0 2	1	1
6 2044	0 2	1	1
6 2514	0 2	1	1
1 4957	0 3	1	1
1 1387	0 3	1	1
1 2887	0 3	1	1
3 224	0 3	1	1
6 329	0 3	1	1
4 2239	0 3	1	1
3 475	0 4	1	1
3 4182	0 4	1	1
4 2198	0 4	1	1
4 3017	0 4	1	1
7 1487	0 4	1	1
7 947	0 4	1	1
0 4249	0 5	1	1
0 1487	0 5	1	1
1 3135	0 5	1	1
1 1753	0 5	1	1
3 2943	0 5	1	1
4 3783	0 5	1	1
1 3925	0 6	1	1
4 4309	0 6	1	1
4 740	0 6	1	1
6 2485	0 6	1	1
2 131	0 6	1	1
6 809	0 6	1	1
0 359	0 7	1	1
4 3354	0 7	1	1
7 335	0 7	1	1
7 4266	0 7	1	1
1 1454	0 7	1	1
7 4	0 7	1	1
1 3070	0 8	1	1
4 1153	0 8	1	1
4 4374	0 8	1	1
5 4348	0 8	1	1
6 804	0 8	1	1
6 3759	0 8	1	1
6 3471	0 9	1	1
7 2821	0 9	1	1
7 3042	0 9	1	1
7 1968	0 9	1	1
5 3325	0 9	1	1
3 3990	0 9	1	1
0 2214	0 10	1	1
2 4729	0 10	1	1
3 874	0 10	1	1
5 4465	0 10	1	1
7 1115	0 10	1	1
6 3041	0 10	1	1
2 650	0 11	1	1
2 3261	0 11	1	1
3 796	0 11	1	1
4 891	0 11	1	1
7 1969	0 11	1	1
1 441	0 11	1	1
0 1820	0 12	1	1
3 1806	0 12	1	1
4 1209	0 12	1	1
5 4605	0 12	1	1
5 22	0 12	1	1
7 1039	0 12	1	1
1 1037	0 13	1	1
3 173	0 13	1	1
3 1315	0 13	1	1
1 3946	0 13	1	1
3 2335	0 13	1	1
3 2102	0 13	1	1
0 3590	0 14	1	1
1 1110	0 14	1	1
3 320	0 14	1	1
5 4370	0 14	1	1
6 3636	0 14	1	1
7 4319	0 14	1	1
0 590	0 15	1	1
0 945	0 15	1	1
1 3124	0 15	1	1
3 2287	0 15	1	1
3 1279	0 15	1	1
6 2740	0 15	1	1
0 4446	0 16	1	1
1 3372	0 16	1	1
3 1167	0 16	1	1
4 2802	0 16	1	1
5 2774	0 16	1	1
7 4383	0 16	1	1
1 1874	0 17	1	1
2 1951	0 17	1	1
3 4474	0 17	1	1
4 1841	0 17	1	1
6 3314	0 17	1	1
6 2635	0 17	1	1
1 1445	0 18	1	1
2 2268	0 18	1	1
2 1768	0 18	1	1
4 3285	0 18	1	1
5 41	0 18	1	1
5 4730	0 18	1	1
0 4545	0 19	1	1
0 2194	0 19	1	1
0 1654	0 19	1	1
3 3952	0 19	1	1
5 338	0 19	1	1
3 4292	0 19	1	1
0 1618	0 20	1	1
2 4993	0 20	1	1
2 1886	0 20	1	1
4 4649	0 20	1	1
5 79	0 20	1	1
7 1867	0 20	1	1
1 1808	0 21	1	1
1 3234	0 21	1	1
2 3185	0 21	1	1
5 1311	0 21	1	1
5 1000	0 21	1	1
5 344	0 21	1	1
2 1458	0 22	1	1
3 297	0 22	1	1
4 1089	0 22	1	1
6 4511	0 22	1	1
1 1008	0 22	1	1
7 3142	0 22	1	1
0 2232	0 23	1	1
0 2152	0 23	1	1
1 4856	0 23	1	1
1 3650	0 23	1	1
2 301	0 23	1	1
5 539	0 23	1	1
0 595	0 24	1	1
2 4147	0 24	1	1
4 4428	0 24	1	1
5 676	0 24	1	1
5 1087	0 24	1	1
6 3261	0 24	1	1
1 1809	0 25	1	1
3 2914	0 25	1	1
7 2870	0 25	1	1
7 2478	0 25	1	1
5 1397	0 25	1	1
5 547	0 25	1	1
0 3085	0 26	1	1
2 3421	0 26	1	1
4 3796	0 26	1	1
6 4384	0 26	1	1
7 4669	0 26	1	1
5 65	0 26	1	1
1 4911	0 27	1	1
2 1670	0 27	1	1
4 1119	0 27	1	1
5 493	0 27	1	1
6 2131	0 27	1	1
4 2566	0 27	1	1
0 3713	0 28	1	1
1 3346	0 28	1	1
4 4882	0 28	1	1
4 266	0 28	1	1
5 2257	0 28	1	1
7 877	0 28	1	1
0 3347	0 29	1	1
5 36	0 29	1	1
5 386	0 29	1	1
6 2555	0 29	1	1
6 3857	0 29	1	1
6 4997	0 29	1	1
0 4687	0 30	1	1
2 3267	0 30	1	1
3 2957	0 30	1	1
4 2422	0 30	1	1
6 4251	0 30	1	1
1 4351	0 30	1	1
0 2837	0 31	1	1
0 3343	0 31	1	1
3 1456	0 31	1	1
4 682	0 31	1	1
7 709	0 31	1	1
7 2157	0 31	1	1
1 3852	0 32	1	1
3 835	0 32	1	1
5 1741	0 32	1	1
6 3536	0 32	1	1
6 3864	0 32	1	1
7 4950	0 32	1	1
2 1409	0 33	1	1
5 3974	0 33	1	1
6 212	0 33	1	1
7 2532	0 33	1	1
