# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
2 1429	2 1	1	1
2 922	2 1	1	1
1 3525	2 1	1	1
4 2038	2 1	1	1
5 3761	2 1	1	1
7 566	2 1	1	1
2 777	2 2	1	1
4 1337	2 2	1	1
6 4376	2 2	1	1
6 3467	2 2	1	1
7 977	2 2	1	1
7 1033	2 2	1	1
2 3564	2 3	1	1
2 3997	2 3	1	1
3 3835	2 3	1	1
5 1399	2 3	1	1
5 2944	2 3	1	1
4 758	2 3	1	1
2 3858	2 4	1	1
2 1066	2 4	1	1
0 2957	2 4	1	1
5 4208	2 4	1	1
6 3122	2 4	1	1
7 4731	2 4	1	1
1 2210	2 5	1	1
3 1650	2 5	1	1
6 2074	2 5	1	1
0 728	2 5	1	1
5 2836	2 5	1	1
6 187	2 5	1	1
2 858	2 6	1	1
4 4409	2 6	1	1
6 3965	2 6	1	1
7 183	2 6	1	1
7 2986	2 6	1	1
6 3761	2 6	1	1
0 388	2 7	1	1
3 3734	2 7	1	1
5 376	2 7	1	1
5 903	2 7	1	1
0 179	2 7	1	1
4 2288	2 7	1	1
1 279	2 8	1	1
1 3885	2 8	1	1
3 1065	2 8	1	1
3 4856	2 8	1	1
6 3607	2 8	1	1
6 3318	2 8	1	1
2 3574	2 9	1	1
1 1048	2 9	1	1
4 3479	2 9	1	1
5 3085	2 9	1	1
6 942	2 9	1	1
7 51	2 9	1	1
0 2664	2 10	1	1
0 1716	2 10	1	1
3 43	2 10	1	1
5 3049	2 10	1	1
4 1843	2 10	1	1
6 2358	2 10	1	1
3 1568	2 11	1	1
4 4499	2 11	1	1
4 1240	2 11	1	1
5 4080	2 11	1	1
7 317	2 11	1	1
7 2454	2 11	1	1
2 2328	2 12	1	1
1 2226	2 12	1	1
1 2873	2 12	1	1
4 4338	2 12	1	1
4 3378	2 12	1	1
3 446	2 12	1	1
2 3132	2 13	1	1
3 3875	2 13	1	1
6 2406	2 13	1	1
6 214	2 13	1	1
7 1859	2 13	1	1
6 1602	2 13	1	1
1 2716	2 14	1	1
1 2707	2 14	1	1
4 4129	2 14	1	1
5 1506	2 14	1	1
5 3518	2 14	1	1
0 36	2 14	1	1
2 3796	2 15	1	1
2 420	2 15	1	1
3 3237	2 15	1	1
4 4006	2 15	1	1
6 4775	2 15	1	1
6 2225	2 15	1	1
1 4801	2 16	1	1
3 4627	2 16	1	1
6 4372	2 16	1	1
6 1492	2 16	1	1
6 2686	2 16	1	1
4 1905	2 16	1	1
0 1812	2 17	1	1
1 2110	2 17	1	1
3 4673	2 17	1	1
3 639	2 17	1	1
3 807	2 17	1	1
3 1074	2 17	1	1
2 76	2 18	1	1
0 2093	2 18	1	1
4 4178	2 18	1	1
5 1688	2 18	1	1
6 3992	2 18	1	1
7 171	2 18	1	1
1 1210	2 19	1	1
3 499	2 19	1	1
5 3953	2 19	1	1
7 4314	2 19	1	1
7 1617	2 19	1	1
5 4065	2 19	1	1
2 4373	2 20	1	1
2 1651	2 20	1	1
4 4574	2 20	1	1
6 723	2 20	1	1
6 195	2 20	1	1
7 1166	2 20	1	1
2 3235	2 21	1	1
1 4999	2 21	1	1
1 1246	2 21	1	1
5 1704	2 21	1	1
5 2073	2 21	1	1
0 1584	2 21	1	1
2 1724	2 22	1	1
0 3293	2 22	1	1
1 3771	2 22	1	1
1 3863	2 22	1	1
5 1821	2 22	1	1
5 2288	2 22	1	1
2 1057	2 23	1	1
0 3538	2 23	1	1
0 950	2 23	1	1
3 1291	2 23	1	1
5 1072	2 23	1	1
6 1319	2 23	1	1
2 2825	2 24	1	1
0 951	2 24	1	1
1 2279	2 24	1	1
1 2659	2 24	1	1
1 4097	2 24	1	1
3 331	2 24	1	1
0 1788	2 25	1	1
3 4920	2 25	1	1
4 2385	2 25	1	1
4 4896	2 25	1	1
5 4817	2 25	1	1
5 618	2 25	1	1
2 475	2 26	1	1
3 3055	2 26	1	1
3 3040	2 26	1	1
4 395	2 26	1	1
6 261	2 26	1	1
6 4135	2 26	1	1
0 1997	2 27	1	1
3 3352	2 27	1	1
4 2358	2 27	1	1
7 61	2 27	1	1
6 1569	2 27	1	1
7 2758	2 27	1	1
1 1112	2 28	1	1
1 1411	2 28	1	1
3 3984	2 28	1	1
4 818	2 28	1	1
7 3892	2 28	1	1
3 151	2 28	1	1
2 2268	2 29	1	1
0 2923	2 29	1	1
3 2662	2 29	1	1
4 3001	2 29	1	1
5 32	2 29	1	1
6 3734	2 29	1	1
3 4570	2 30	1	1
5 4367	2 30	1	1
5 1784	2 30	1	1
6 969	2 30	1	1
7 4664	2 30	1	1
7 4439	2 30	1	1
2 4172	2 31	1	1
0 2628	2 31	1	1
5 2503	2 31	1	1
5 3217	2 31	1	1
