# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
3 833	1 1	1	1
3 360	1 1	1	1
4 1441	1 1	1	1
6 2319	1 1	1	1
7 4265	1 1	1	1
4 1716	1 1	1	1
1 3803	1 2	1	1
2 4214	1 2	1	1
4 1850	1 2	1	1
6 44	1 2	1	1
2 2682	1 2	1	1
4 143	1 2	1	1
0 1882	1 3	1	1
4 1619	1 3	1	1
5 317	1 3	1	1
5 2846	1 3	1	1
7 459	1 3	1	1
2 2678	1 3	1	1
0 3617	1 4	1	1
2 4479	1 4	1	1
3 2572	1 4	1	1
4 4501	1 4	1	1
5 505	1 4	1	1
0 1517	1 4	1	1
4 1832	1 5	1	1
5 3645	1 5	1	1
6 1037	1 5	1	1
7 2516	1 5	1	1
7 2916	1 5	1	1
7 3113	1 5	1	1
0 1536	1 6	1	1
2 4067	1 6	1	1
2 1666	1 6	1	1
3 2552	1 6	1	1
4 950	1 6	1	1
7 3503	1 6	1	1
1 1124	1 7	1	1
0 4587	1 7	1	1
4 3534	1 7	1	1
6 4978	1 7	1	1
7 3393	1 7	1	1
2 1242	1 7	1	1
2 1641	1 8	1	1
2 1043	1 8	1	1
2 2172	1 8	1	1
7 1534	1 8	1	1
7 4972	1 8	1	1
7 1370	1 8	1	1
0 3025	1 9	1	1
2 4899	1 9	1	1
5 1585	1 9	1	1
6 3678	1 9	1	1
4 498	1 9	1	1
0 4773	1 9	1	1
2 2434	1 10	1	1
4 3881	1 10	1	1
4 870	1 10	1	1
5 1612	1 10	1	1
5 1137	1 10	1	1
6 3371	1 10	1	1
1 129	1 11	1	1
3 1010	1 11	1	1
4 4853	1 11	1	1
5 3423	1 11	1	1
6 4505	1 11	1	1
7 1450	1 11	1	1
1 4719	1 12	1	1
0 1089	1 12	1	1
4 4752	1 12	1	1
5 215	1 12	1	1
6 4614	1 12	1	1
6 3378	1 12	1	1
1 997	1 13	1	1
3 4763	1 13	1	1
5 1716	1 13	1	1
5 1361	1 13	1	1
7 4311	1 13	1	1
7 2972	1 13	1	1
1 3833	1 14	1	1
0 3278	1 14	1	1
7 4175	1 14	1	1
7 3397	1 14	1	1
3 1213	1 14	1	1
6 3940	1 14	1	1
1 2874	1 15	1	1
0 4144	1 15	1	1
0 1548	1 15	1	1
2 1252	1 15	1	1
5 1235	1 15	1	1
6 1706	1 15	1	1
0 2629	1 16	1	1
0 109	1 16	1	1
0 3403	1 16	1	1
4 3842	1 16	1	1
4 2572	1 16	1	1
0 3113	1 16	1	1
1 4989	1 17	1	1
0 3570	1 17	1	1
0 4992	1 17	1	1
5 666	1 17	1	1
7 838	1 17	1	1
3 3183	1 17	1	1
1 773	1 18	1	1
0 2720	1 18	1	1
4 2522	1 18	1	1
5 1182	1 18	1	1
5 3454	1 18	1	1
6 2537	1 18	1	1
1 3325	1 19	1	1
2 137	1 19	1	1
3 214	1 19	1	1
4 4959	1 19	1	1
6 4023	1 19	1	1
7 2312	1 19	1	1
0 3245	1 20	1	1
0 2082	1 20	1	1
3 3608	1 20	1	1
6 539	1 20	1	1
7 4619	1 20	1	1
3 2867	1 20	1	1
1 4066	1 21	1	1
1 3129	1 21	1	1
3 1721	1 21	1	1
3 4528	1 21	1	1
5 3057	1 21	1	1
4 2443	1 21	1	1
1 4448	1 22	1	1
2 3325	1 22	1	1
2 565	1 22	1	1
3 1358	1 22	1	1
3 4514	1 22	1	1
6 3501	1 22	1	1
1 1948	1 23	1	1
0 1025	1 23	1	1
0 4177	1 23	1	1
2 1998	1 23	1	1
5 991	1 23	1	1
6 3480	1 23	1	1
1 3882	1 24	1	1
2 3569	1 24	1	1
2 2950	1 24	1	1
3 2014	1 24	1	1
6 2685	1 24	1	1
6 4790	1 24	1	1
0 2800	1 25	1	1
2 3270	1 25	1	1
3 2262	1 25	1	1
3 2861	1 25	1	1
4 4114	1 25	1	1
4 580	1 25	1	1
1 2741	1 26	1	1
1 3583	1 26	1	1
0 1138	1 26	1	1
4 3548	1 26	1	1
6 515	1 26	1	1
6 3494	1 26	1	1
1 4774	1 27	1	1
0 104	1 27	1	1
3 3858	1 27	1	1
3 4469	1 27	1	1
4 4089	1 27	1	1
6 3099	1 27	1	1
1 4223	1 28	1	1
1 3391	1 28	1	1
0 3804	1 28	1	1
6 2394	1 28	1	1
6 3318	1 28	1	1
3 3097	1 28	1	1
1 114	1 29	1	1
1 3522	1 29	1	1
5 3332	1 29	1	1
6 4878	1 29	1	1
6 4239	1 29	1	1
3 1976	1 29	1	1
1 3829	1 30	1	1
2 2948	1 30	1	1
2 1675	1 30	1	1
2 2799	1 30	1	1
4 154	1 30	1	1
2 2513	1 30	1	1
0 3732	1 31	1	1
0 2958	1 31	1	1
3 3292	1 31	1	1
4 359	1 31	1	1
5 2324	1 31	1	1
7 3048	1 31	1	1
1 1036	1 32	1	1
2 4014	1 32	1	1
4 526	1 32	1	1
7 2052	1 32	1	1
3 4409	1 32	1	1
7 2944	1 32	1	1
1 132	1 33	1	1
0 2330	1 33	1	1
2 4192	1 33	1	1
3 4286	1 33	1	1
7 272	1 33	1	1
0 2046	1 33	1	1
0 3650	1 34	1	1
0 3574	1 34	1	1
3 2569	1 34	1	1
3 1091	1 34	1	1
5 4135	1 34	1	1
6 88	1 34	1	1
3 2808	1 35	1	1
6 2919	1 35	1	1
6 1650	1 35	1	1
4 2627	1 35	1	1
6 1778	1 35	1	1
6 4585	1 35	1	1
1 4438	1 36	1	1
0 2056	1 36	1	1
3 3578	1 36	1	1
3 1850	1 36	1	1
6 2336	1 36	1	1
6 2440	1 36	1	1
1 3809	1 37	1	1
1 184	1 37	1	1
0 2849	1 37	1	1
4 2014	1 37	1	1
4 1648	1 37	1	1
7 3135	1 37	1	1
1 4820	1 38	1	1
5 79	1 38	1	1
7 4269	1 38	1	1
7 2824	1 38	1	1
7 4544	1 38	1	1
0 1947	1 38	1	1
1 4515	1 39	1	1
2 580	1 39	1	1
5 4219	1 39	1	1
6 878	1 39	1	1
7 1464	1 39	1	1
7 2636	1 39	1	1
2 3609	1 40	1	1
2 2604	1 40	1	1
