# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
3 1	3 3061	1	1
3 1	6 2991	1	1
3 1	4 2826	1	1
3 1	7 819	1	1
3 1	4 601	1	1
3 1	1 573	1	1
3 2	5 3311	1	1
3 2	7 2819	1	1
3 2	1 189	1	1
3 2	4 4109	1	1
3 2	5 1035	1	1
3 2	6 2147	1	1
3 3	3 3603	1	1
3 3	2 3244	1	1
3 3	6 447	1	1
3 3	7 2106	1	1
3 3	6 2142	1	1
3 3	4 4951	1	1
3 4	2 794	1	1
3 4	5 1762	1	1
3 4	0 2530	1	1
3 4	4 3909	1	1
3 4	6 3448	1	1
3 4	1 2831	1	1
3 5	3 2118	1	1
3 5	4 2718	1	1
3 5	4 1701	1	1
3 5	0 4497	1	1
3 5	6 2825	1	1
3 5	0 3463	1	1
3 6	3 1403	1	1
3 6	3 1323	1	1
3 6	3 3003	1	1
3 6	0 711	1	1
3 6	0 3006	1	1
3 6	2 2119	1	1
3 7	6 4477	1	1
3 7	7 4678	1	1
3 7	0 1814	1	1
3 7	4 1974	1	1
3 7	7 2673	1	1
3 7	2 4939	1	1
3 8	3 1097	1	1
3 8	3 2545	1	1
3 8	0 4531	1	1
3 8	5 2351	1	1
3 8	5 4429	1	1
3 8	7 3783	1	1
3 9	5 2892	1	1
3 9	7 2222	1	1
3 9	7 427	1	1
3 9	4 3332	1	1
3 9	2 3937	1	1
3 9	4 1862	1	1
3 10	3 4109	1	1
3 10	5 4863	1	1
3 10	0 3676	1	1
3 10	0 4607	1	1
3 10	6 1604	1	1
3 10	6 828	1	1
3 11	3 2314	1	1
3 11	7 751	1	1
3 11	5 678	1	1
3 11	5 1905	1	1
3 11	0 1288	1	1
3 11	0 2457	1	1
3 12	4 436	1	1
3 12	5 488	1	1
3 12	2 4890	1	1
3 12	1 1876	1	1
3 12	7 1994	1	1
3 12	4 1720	1	1
3 13	0 4622	1	1
3 13	7 3800	1	1
3 13	1 4682	1	1
3 13	0 1918	1	1
3 13	0 3148	1	1
3 13	5 3562	1	1
3 14	3 2220	1	1
3 14	7 303	1	1
3 14	1 2574	1	1
3 14	7 2732	1	1
3 14	2 4102	1	1
3 14	5 251	1	1
3 15	3 3641	1	1
3 15	3 2325	1	1
3 15	2 501	1	1
3 15	4 708	1	1
3 15	4 251	1	1
3 15	5 1317	1	1
3 16	1 882	1	1
3 16	6 43	1	1
3 16	0 3027	1	1
3 16	1 509	1	1
3 16	2 271	1	1
3 16	4 4632	1	1
3 17	3 2658	1	1
3 17	5 3177	1	1
3 17	5 230	1	1
3 17	1 55	1	1
3 17	2 4480	1	1
3 17	2 1841	1	1
3 18	3 991	1	1
3 18	3 4713	1	1
3 18	0 400	1	1
3 18	1 4412	1	1
3 18	5 4808	1	1
3 18	0 4258	1	1
3 19	3 2838	1	1
3 19	7 4170	1	1
3 19	5 1939	1	1
3 19	6 4872	1	1
3 19	0 2066	1	1
3 19	5 2117	1	1
3 20	2 2961	1	1
3 20	2 4177	1	1
3 20	1 4569	1	1
3 20	0 4283	1	1
3 20	2 2653	1	1
3 20	5 4382	1	1
3 21	1 1445	1	1
3 21	1 861	1	1
3 21	5 1453	1	1
3 21	4 3811	1	1
3 21	5 2564	1	1
3 21	7 2287	1	1
3 22	3 1159	1	1
3 22	3 3252	1	1
3 22	3 4571	1	1
3 22	0 3616	1	1
3 22	2 1581	1	1
3 22	4 806	1	1
3 23	3 2757	1	1
3 23	2 1932	1	1
3 23	5 3800	1	1
3 23	6 3309	1	1
3 23	0 2472	1	1
3 23	5 4302	1	1
3 24	3 4907	1	1
3 24	0 4018	1	1
3 24	2 4611	1	1
3 24	2 1428	1	1
3 24	0 2129	1	1
3 24	7 4212	1	1
3 25	3 2684	1	1
3 25	0 3735	1	1
3 25	7 2864	1	1
3 25	1 595	1	1
3 25	4 4248	1	1
3 25	0 2560	1	1
