# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
0 1	0 1162	1	1
0 1	5 3178	1	1
0 1	2 3335	1	1
0 1	1 3151	1	1
0 1	4 4632	1	1
0 1	2 3614	1	1
0 2	4 4132	1	1
0 2	4 50	1	1
0 2	2 2830	1	1
0 2	7 2027	1	1
0 2	3 1249	1	1
0 2	1 3866	1	1
0 3	5 3057	1	1
0 3	2 4678	1	1
0 3	7 4696	1	1
0 3	1 2567	1	1
0 3	7 749	1	1
0 3	1 4530	1	1
0 4	5 3792	1	1
0 4	7 2921	1	1
0 4	1 60	1	1
0 4	3 1311	1	1
0 4	4 1618	1	1
0 4	1 1786	1	1
0 5	0 2211	1	1
0 5	7 1270	1	1
0 5	4 2497	1	1
0 5	2 951	1	1
0 5	5 2656	1	1
0 5	4 1251	1	1
0 6	5 556	1	1
0 6	4 2010	1	1
0 6	3 4658	1	1
0 6	6 2724	1	1
0 6	3 1752	1	1
0 6	2 3776	1	1
0 7	0 217	1	1
0 7	5 3228	1	1
0 7	2 3804	1	1
0 7	5 1947	1	1
0 7	7 2859	1	1
0 7	1 129	1	1
0 8	0 4311	1	1
0 8	0 708	1	1
0 8	1 4495	1	1
0 8	6 1721	1	1
0 8	1 427	1	1
0 8	1 3678	1	1
0 9	4 2145	1	1
0 9	5 1100	1	1
0 9	7 3367	1	1
0 9	6 2436	1	1
0 9	3 4096	1	1
0 9	7 4964	1	1
0 10	0 4813	1	1
0 10	0 4136	1	1
0 10	0 1626	1	1
0 10	2 2101	1	1
0 10	4 1737	1	1
0 10	6 928	1	1
0 11	2 3799	1	1
0 11	6 3660	1	1
0 11	1 1961	1	1
0 11	5 1478	1	1
0 11	7 4576	1	1
0 11	4 2830	1	1
0 12	0 3237	1	1
0 12	7 1325	1	1
0 12	7 3411	1	1
0 12	5 3763	1	1
0 12	3 3377	1	1
0 12	6 781	1	1
0 13	0 2428	1	1
0 13	5 4194	1	1
0 13	7 956	1	1
0 13	5 841	1	1
0 13	2 417	1	1
0 13	4 332	1	1
0 14	1 934	1	1
0 14	5 1903	1	1
0 14	2 408	1	1
0 14	1 1508	1	1
0 14	4 890	1	1
0 14	2 3587	1	1
0 15	6 2344	1	1
0 15	3 2900	1	1
0 15	3 2166	1	1
0 15	7 4988	1	1
0 15	4 861	1	1
0 15	7 2320	1	1
0 16	3 953	1	1
0 16	4 2055	1	1
0 16	5 1070	1	1
0 16	6 3800	1	1
0 16	5 412	1	1
0 16	3 3042	1	1
0 17	0 4169	1	1
0 17	1 3889	1	1
0 17	7 1306	1	1
0 17	3 860	1	1
0 17	2 2574	1	1
0 17	1 2057	1	1
0 18	0 3134	1	1
0 18	6 4586	1	1
0 18	7 368	1	1
0 18	6 2864	1	1
0 18	6 3490	1	1
0 18	2 3687	1	1
0 19	2 2322	1	1
0 19	3 2782	1	1
0 19	6 1082	1	1
0 19	1 2081	1	1
0 19	2 3584	1	1
0 19	5 4627	1	1
0 20	0 1981	1	1
0 20	0 4744	1	1
0 20	6 2248	1	1
0 20	3 175	1	1
0 20	6 3613	1	1
0 20	3 584	1	1
0 21	0 3552	1	1
0 21	7 1637	1	1
0 21	1 3472	1	1
0 21	5 501	1	1
0 21	6 2209	1	1
0 21	2 2208	1	1
0 22	6 3866	1	1
0 22	7 2488	1	1
0 22	7 3281	1	1
0 22	1 2050	1	1
0 22	1 4715	1	1
0 22	1 4655	1	1
0 23	0 425	1	1
0 23	3 1505	1	1
0 23	5 2083	1	1
0 23	4 4216	1	1
0 23	1 2186	1	1
0 23	5 1316	1	1
0 24	7 774	1	1
0 24	4 3658	1	1
0 24	2 2397	1	1
0 24	4 885	1	1
0 24	3 367	1	1
0 24	4 1717	1	1
0 25	0 3433	1	1
0 25	4 4586	1	1
0 25	5 878	1	1
0 25	3 4573	1	1
0 25	4 4079	1	1
0 25	3 1544	1	1
0 26	0 2322	1	1
0 26	5 1652	1	1
0 26	3 1766	1	1
0 26	7 1424	1	1
0 26	7 390	1	1
0 26	5 1961	1	1
0 27	0 4202	1	1
0 27	6 454	1	1
0 27	5 2549	1	1
0 27	6 4596	1	1
0 27	5 1486	1	1
0 27	4 4523	1	1
0 28	0 3117	1	1
0 28	4 1609	1	1
0 28	1 1116	1	1
0 28	4 1925	1	1
0 28	3 3755	1	1
0 28	3 3564	1	1
0 29	0 3074	1	1
0 29	0 2673	1	1
0 29	2 3694	1	1
0 29	7 2924	1	1
0 29	2 3780	1	1
0 29	5 2173	1	1
0 30	6 3913	1	1
0 30	1 3423	1	1
