# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
6 1	5 4100	1	1
6 1	7 1843	1	1
6 1	0 944	1	1
6 1	2 2818	1	1
6 1	2 2188	1	1
6 1	7 952	1	1
6 2	1 3364	1	1
6 2	7 1078	1	1
6 2	4 203	1	1
6 2	3 2941	1	1
6 2	5 1346	1	1
6 2	4 259	1	1
6 3	4 104	1	1
6 3	0 3660	1	1
6 3	7 1486	1	1
6 3	1 3392	1	1
6 3	2 1699	1	1
6 3	7 1691	1	1
6 4	0 1284	1	1
6 4	1 1736	1	1
6 4	0 3106	1	1
6 4	0 990	1	1
6 4	3 4980	1	1
6 4	0 2097	1	1
6 5	5 3154	1	1
6 5	5 1956	1	1
6 5	5 1624	1	1
6 5	3 876	1	1
6 5	2 3980	1	1
6 5	3 290	1	1
6 6	6 1346	1	1
6 6	2 4236	1	1
6 6	5 4708	1	1
6 6	2 4186	1	1
6 6	0 3445	1	1
6 6	0 4191	1	1
6 7	2 1342	1	1
6 7	1 832	1	1
6 7	0 2902	1	1
6 7	3 76	1	1
6 7	2 2443	1	1
6 7	7 205	1	1
6 8	6 4837	1	1
6 8	3 1685	1	1
6 8	7 2171	1	1
6 8	7 4869	1	1
6 8	2 1803	1	1
6 8	3 3558	1	1
6 9	6 2661	1	1
6 9	6 1645	1	1
6 9	5 467	1	1
6 9	2 3498	1	1
6 9	5 2466	1	1
6 9	0 4604	1	1
6 10	0 665	1	1
6 10	0 4990	1	1
6 10	7 4140	1	1
6 10	2 2456	1	1
6 10	2 3538	1	1
6 10	1 4581	1	1
6 11	7 75	1	1
6 11	7 4774	1	1
6 11	5 4550	1	1
6 11	3 2824	1	1
6 11	0 1419	1	1
6 11	4 3837	1	1
6 12	6 1711	1	1
6 12	4 4140	1	1
6 12	4 3168	1	1
6 12	1 2819	1	1
6 12	2 499	1	1
6 12	7 3043	1	1
6 13	6 4959	1	1
6 13	4 2489	1	1
6 13	2 4279	1	1
6 13	2 685	1	1
6 13	1 3387	1	1
6 13	5 4899	1	1
6 14	6 622	1	1
6 14	4 2384	1	1
6 14	4 2892	1	1
6 14	2 1488	1	1
6 14	3 2630	1	1
6 14	7 2189	1	1
6 15	5 2120	1	1
6 15	4 236	1	1
6 15	4 1044	1	1
6 15	3 9	1	1
6 15	2 2213	1	1
6 15	2 199	1	1
6 16	4 4738	1	1
6 16	3 1217	1	1
6 16	2 1819	1	1
6 16	1 1921	1	1
6 16	0 4218	1	1
6 16	5 2436	1	1
6 17	2 157	1	1
6 17	0 253	1	1
6 17	4 1634	1	1
6 17	0 3141	1	1
6 17	2 3727	1	1
6 17	5 1370	1	1
6 18	6 4145	1	1
6 18	6 891	1	1
6 18	2 151	1	1
6 18	2 3975	1	1
6 18	3 3030	1	1
6 18	0 4652	1	1
6 19	5 961	1	1
6 19	1 3216	1	1
6 19	0 2264	1	1
6 19	0 3601	1	1
6 19	1 435	1	1
6 19	2 4201	1	1
6 20	0 2704	1	1
6 20	0 3143	1	1
6 20	2 3527	1	1
6 20	4 4185	1	1
6 20	1 4368	1	1
6 20	1 2094	1	1
6 21	0 433	1	1
6 21	7 2516	1	1
6 21	4 310	1	1
6 21	4 529	1	1
6 21	4 3479	1	1
6 21	1 2586	1	1
6 22	6 1086	1	1
6 22	3 1178	1	1
6 22	5 4010	1	1
6 22	3 1602	1	1
6 22	0 4377	1	1
6 22	2 4069	1	1
6 23	6 1746	1	1
6 23	3 2706	1	1
6 23	7 3624	1	1
6 23	4 882	1	1
6 23	2 3141	1	1
6 23	4 2475	1	1
6 24	6 1057	1	1
6 24	6 1731	1	1
6 24	2 83	1	1
6 24	7 2951	1	1
6 24	7 378	1	1
6 24	1 4886	1	1
6 25	6 4919	1	1
6 25	1 1232	1	1
6 25	2 2735	1	1
6 25	5 3996	1	1
6 25	3 4511	1	1
6 25	0 954	1	1
6 26	6 2132	1	1
6 26	7 1121	1	1
6 26	0 1851	1	1
6 26	4 1862	1	1
6 26	3 3615	1	1
6 26	5 910	1	1
6 27	4 1822	1	1
6 27	3 4468	1	1
6 27	2 4423	1	1
6 27	4 4463	1	1
6 27	2 804	1	1
6 27	7 4922	1	1
6 28	6 252	1	1
6 28	7 3795	1	1
6 28	4 2706	1	1
6 28	5 2532	1	1
6 28	5 2092	1	1
6 28	0 2507	1	1
6 29	6 934	1	1
6 29	7 4217	1	1
6 29	4 2776	1	1
6 29	3 2540	1	1
6 29	5 1795	1	1
6 29	7 4930	1	1
6 30	6 438	1	1
6 30	6 1620	1	1
6 30	6 1319	1	1
6 30	1 2454	1	1
6 30	3 307	1	1
6 30	4 985	1	1
6 31	5 2535	1	1
6 31	7 2337	1	1
6 31	1 2834	1	1
6 31	4 216	1	1
6 31	5 3147	1	1
6 31	2 129	1	1
6 32	6 4210	1	1
6 32	3 1918	1	1
6 32	1 1647	1	1
6 32	1 3253	1	1
6 32	7 3148	1	1
6 32	7 1034	1	1
6 33	6 2512	1	1
6 33	1 517	1	1
6 33	0 512	1	1
6 33	5 168	1	1
6 33	5 2642	1	1
6 33	4 1659	1	1
6 34	7 2598	1	1
6 34	1 2809	1	1
6 34	2 425	1	1
6 34	2 3305	1	1
6 34	1 3813	1	1
6 34	5 3667	1	1
6 35	6 2212	1	1
6 35	1 4124	1	1
6 35	4 3725	1	1
6 35	5 47	1	1
6 35	0 4521	1	1
6 35	7 1427	1	1
6 36	6 760	1	1
6 36	6 2080	1	1
6 36	5 3555	1	1
6 36	2 2484	1	1
6 36	7 1713	1	1
6 36	5 4839	1	1
6 37	1 3914	1	1
6 37	1 720	1	1
6 37	7 1537	1	1
6 37	2 2439	1	1
6 37	4 4261	1	1
6 37	7 983	1	1
6 38	7 3674	1	1
6 38	7 1371	1	1
6 38	0 376	1	1
6 38	3 3432	1	1
6 38	2 564	1	1
6 38	3 1719	1	1
6 39	6 3683	1	1
6 39	3 274	1	1
6 39	0 3494	1	1
6 39	7 2088	1	1
6 39	0 4401	1	1
6 39	5 4314	1	1
6 40	6 3355	1	1
6 40	0 1497	1	1
6 40	7 2462	1	1
6 40	7 4550	1	1
6 40	2 102	1	1
6 40	3 1151	1	1
6 41	4 4285	1	1
6 41	7 3841	1	1
6 41	1 3996	1	1
6 41	4 2074	1	1
6 41	3 4586	1	1
6 41	4 2815	1	1
6 42	7 241	1	1
6 42	4 175	1	1
6 42	2 4652	1	1
6 42	0 821	1	1
6 42	2 2593	1	1
6 42	7 522	1	1
6 43	3 1194	1	1
6 43	0 4377	1	1
6 43	0 1432	1	1
6 43	7 1001	1	1
6 43	5 1157	1	1
6 43	1 1377	1	1
6 44	1 2	1	1
6 44	3 2812	1	1
6 44	2 2760	1	1
6 44	0 339	1	1
6 44	4 3277	1	1
6 44	5 1422	1	1
6 45	6 685	1	1
6 45	1 3191	1	1
6 45	7 3861	1	1
6 45	0 3386	1	1
6 45	3 1821	1	1
6 45	5 2161	1	1
6 46	0 3208	1	1
6 46	3 2032	1	1
6 46	4 3061	1	1
6 46	2 3364	1	1
6 46	2 1106	1	1
6 46	0 2090	1	1
6 47	7 4928	1	1
6 47	5 4105	1	1
6 47	5 3729	1	1
6 47	2 449	1	1
6 47	7 4817	1	1
6 47	5 4189	1	1
6 48	6 332	1	1
6 48	7 1676	1	1
6 48	3 4724	1	1
6 48	5 2322	1	1
6 48	5 2949	1	1
6 48	3 4763	1	1
6 49	6 2596	1	1
6 49	7 453	1	1
6 49	5 1715	1	1
6 49	3 1335	1	1
6 49	1 3360	1	1
6 49	2 2500	1	1
6 50	6 4376	1	1
6 50	3 2144	1	1
6 50	0 2975	1	1
6 50	3 3372	1	1
6 50	3 3187	1	1
6 50	5 2460	1	1
6 51	6 3969	1	1
6 51	5 380	1	1
6 51	4 2215	1	1
6 51	2 2414	1	1
6 51	4 3189	1	1
6 51	4 4937	1	1
6 52	1 418	1	1
6 52	3 3651	1	1
6 52	2 3512	1	1
6 52	4 1273	1	1
6 52	3 433	1	1
6 52	2 1165	1	1
6 53	6 3918	1	1
6 53	4 4001	1	1
6 53	3 1681	1	1
6 53	3 2526	1	1
6 53	2 4381	1	1
6 53	2 4630	1	1
6 54	6 201	1	1
6 54	6 4356	1	1
6 54	6 3306	1	1
6 54	1 2714	1	1
6 54	3 1539	1	1
6 54	3 1103	1	1
