# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
5 3747	5 1	1	1
0 106	5 1	1	1
2 545	5 1	1	1
3 2889	5 1	1	1
4 2374	5 1	1	1
7 2777	5 1	1	1
0 618	5 2	1	1
0 3928	5 2	1	1
2 4393	5 2	1	1
4 4083	5 2	1	1
6 3976	5 2	1	1
7 1946	5 2	1	1
1 333	5 3	1	1
1 4815	5 3	1	1
1 1088	5 3	1	1
3 4322	5 3	1	1
6 851	5 3	1	1
0 4669	5 3	1	1
5 2764	5 4	1	1
1 4247	5 4	1	1
1 2955	5 4	1	1
1 2355	5 4	1	1
1 1360	5 4	1	1
2 4565	5 4	1	1
0 4221	5 5	1	1
2 4760	5 5	1	1
3 573	5 5	1	1
3 1467	5 5	1	1
7 1834	5 5	1	1
7 1070	5 5	1	1
5 4036	5 6	1	1
0 824	5 6	1	1
1 871	5 6	1	1
1 1368	5 6	1	1
2 4574	5 6	1	1
2 995	5 6	1	1
5 329	5 7	1	1
5 3994	5 7	1	1
0 98	5 7	1	1
2 1126	5 7	1	1
2 3850	5 7	1	1
3 840	5 7	1	1
5 4829	5 8	1	1
2 4758	5 8	1	1
3 3033	5 8	1	1
6 59	5 8	1	1
6 2957	5 8	1	1
7 944	5 8	1	1
0 359	5 9	1	1
2 3075	5 9	1	1
4 423	5 9	1	1
7 1272	5 9	1	1
7 4369	5 9	1	1
7 2613	5 9	1	1
0 4535	5 10	1	1
3 2503	5 10	1	1
7 3582	5 10	1	1
7 1870	5 10	1	1
6 1466	5 10	1	1
7 3626	5 10	1	1
0 3573	5 11	1	1
2 616	5 11	1	1
6 4293	5 11	1	1
3 758	5 11	1	1
4 4508	5 11	1	1
6 1551	5 11	1	1
0 1487	5 12	1	1
0 4495	5 12	1	1
2 79	5 12	1	1
4 1102	5 12	1	1
7 3413	5 12	1	1
7 1789	5 12	1	1
0 138	5 13	1	1
1 4727	5 13	1	1
4 1939	5 13	1	1
6 3161	5 13	1	1
6 3770	5 13	1	1
7 135	5 13	1	1
0 4944	5 14	1	1
2 4216	5 14	1	1
6 1441	5 14	1	1
7 1777	5 14	1	1
7 4260	5 14	1	1
2 3905	5 14	1	1
5 3348	5 15	1	1
5 483	5 15	1	1
0 3517	5 15	1	1
0 4420	5 15	1	1
7 4512	5 15	1	1
7 599	5 15	1	1
5 2980	5 16	1	1
0 2969	5 16	1	1
3 2456	5 16	1	1
3 2124	5 16	1	1
4 3302	5 16	1	1
7 686	5 16	1	1
0 888	5 17	1	1
3 2877	5 17	1	1
3 4744	5 17	1	1
4 934	5 17	1	1
4 4366	5 17	1	1
7 2453	5 17	1	1
5 2791	5 18	1	1
2 2512	5 18	1	1
4 4771	5 18	1	1
4 2266	5 18	1	1
6 268	5 18	1	1
7 3328	5 18	1	1
5 3316	5 19	1	1
5 3403	5 19	1	1
2 4115	5 19	1	1
4 1308	5 19	1	1
6 1787	5 19	1	1
1 4371	5 19	1	1
5 3035	5 20	1	1
5 4029	5 20	1	1
4 3923	5 20	1	1
4 1316	5 20	1	1
6 4264	5 20	1	1
1 3398	5 20	1	1
5 2329	5 21	1	1
5 94	5 21	1	1
0 2478	5 21	1	1
0 1585	5 21	1	1
7 2550	5 21	1	1
