# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
5 1	5 3130	1	1
5 1	7 3455	1	1
5 1	2 1537	1	1
5 1	4 2697	1	1
5 1	0 3001	1	1
5 1	2 3412	1	1
5 2	5 3728	1	1
5 2	5 3854	1	1
5 2	7 4725	1	1
5 2	7 722	1	1
5 2	7 154	1	1
5 2	6 2190	1	1
5 3	1 4540	1	1
5 3	3 3003	1	1
5 3	1 1503	1	1
5 3	4 1107	1	1
5 3	3 2965	1	1
5 3	6 1102	1	1
5 4	5 4628	1	1
5 4	5 2917	1	1
5 4	5 4548	1	1
5 4	3 3960	1	1
5 4	7 3135	1	1
5 4	7 4473	1	1
5 5	5 1074	1	1
5 5	3 1469	1	1
5 5	6 4423	1	1
5 5	1 329	1	1
5 5	3 3013	1	1
5 5	3 292	1	1
5 6	3 4431	1	1
5 6	7 3132	1	1
5 6	1 4283	1	1
5 6	4 3883	1	1
5 6	0 2704	1	1
5 6	0 2252	1	1
5 7	3 3841	1	1
5 7	2 2066	1	1
5 7	2 1371	1	1
5 7	0 3655	1	1
5 7	0 720	1	1
5 7	0 2509	1	1
5 8	2 4431	1	1
5 8	3 98	1	1
5 8	1 3407	1	1
5 8	0 1544	1	1
5 8	2 1694	1	1
5 8	2 2679	1	1
5 9	5 2153	1	1
5 9	7 3373	1	1
5 9	0 2253	1	1
5 9	3 779	1	1
5 9	3 4453	1	1
5 9	4 599	1	1
5 10	2 4642	1	1
5 10	4 4344	1	1
5 10	4 4448	1	1
5 10	1 1977	1	1
5 10	2 4999	1	1
5 10	3 3139	1	1
5 11	1 4260	1	1
5 11	0 1566	1	1
5 11	3 4160	1	1
5 11	0 757	1	1
5 11	3 4658	1	1
5 11	4 3876	1	1
5 12	1 2031	1	1
5 12	6 1116	1	1
5 12	4 1509	1	1
5 12	3 1998	1	1
5 12	1 2437	1	1
5 12	2 2059	1	1
5 13	1 2520	1	1
5 13	1 1611	1	1
5 13	3 3189	1	1
5 13	4 3608	1	1
5 13	1 242	1	1
5 13	1 4482	1	1
5 14	5 3282	1	1
5 14	4 4831	1	1
5 14	1 3251	1	1
5 14	7 411	1	1
5 14	0 407	1	1
5 14	2 1234	1	1
5 15	5 3785	1	1
5 15	5 1679	1	1
5 15	5 2215	1	1
5 15	1 1125	1	1
5 15	2 3668	1	1
5 15	7 1929	1	1
5 16	5 810	1	1
5 16	0 1226	1	1
5 16	0 1681	1	1
5 16	4 4694	1	1
5 16	2 251	1	1
5 16	4 2331	1	1
5 17	5 3872	1	1
5 17	6 2248	1	1
5 17	7 2617	1	1
5 17	6 2000	1	1
5 17	4 3388	1	1
5 17	7 464	1	1
5 18	5 3472	1	1
5 18	5 4447	1	1
5 18	1 3292	1	1
5 18	3 3363	1	1
5 18	6 2880	1	1
5 18	7 1436	1	1
5 19	2 1165	1	1
5 19	7 802	1	1
5 19	4 3853	1	1
5 19	4 4327	1	1
5 19	7 4026	1	1
5 19	0 3312	1	1
5 20	5 3288	1	1
5 20	4 3195	1	1
5 20	2 205	1	1
5 20	6 2276	1	1
5 20	0 1716	1	1
5 20	2 2615	1	1
5 21	5 434	1	1
5 21	3 752	1	1
5 21	2 1837	1	1
5 21	6 3879	1	1
5 21	2 4270	1	1
5 21	7 3277	1	1
5 22	5 3349	1	1
5 22	4 3600	1	1
5 22	0 2959	1	1
5 22	4 4997	1	1
5 22	0 151	1	1
5 22	0 12	1	1
5 23	4 2268	1	1
5 23	2 4614	1	1
5 23	6 4855	1	1
5 23	2 3662	1	1
5 23	6 622	1	1
5 23	1 75	1	1
5 24	5 901	1	1
5 24	3 263	1	1
5 24	7 390	1	1
5 24	7 432	1	1
5 24	4 2046	1	1
5 24	6 4268	1	1
5 25	3 37	1	1
5 25	3 4111	1	1
5 25	6 4122	1	1
5 25	3 3692	1	1
5 25	0 3681	1	1
5 25	2 2419	1	1
5 26	5 316	1	1
5 26	1 1392	1	1
5 26	6 2326	1	1
5 26	1 3184	1	1
5 26	3 4389	1	1
5 26	7 4958	1	1
5 27	1 2789	1	1
5 27	6 4073	1	1
5 27	7 3955	1	1
5 27	3 1631	1	1
5 27	2 4325	1	1
5 27	1 2073	1	1
5 28	5 2489	1	1
5 28	5 4968	1	1
5 28	3 1858	1	1
5 28	1 2577	1	1
5 28	6 951	1	1
5 28	2 4715	1	1
5 29	5 402	1	1
5 29	5 1715	1	1
5 29	6 3883	1	1
5 29	3 1774	1	1
5 29	1 3623	1	1
5 29	4 804	1	1
5 30	5 4455	1	1
5 30	1 1648	1	1
5 30	1 232	1	1
5 30	4 4960	1	1
5 30	6 3646	1	1
5 30	1 1193	1	1
5 31	5 3117	1	1
5 31	4 3634	1	1
5 31	4 3978	1	1
5 31	3 3293	1	1
5 31	1 1608	1	1
5 31	7 1496	1	1
5 32	4 1631	1	1
5 32	7 3059	1	1
5 32	2 1681	1	1
5 32	2 29	1	1
5 32	7 2800	1	1
5 32	7 1428	1	1
5 33	6 4962	1	1
5 33	0 504	1	1
5 33	4 2127	1	1
5 33	4 1346	1	1
5 33	3 2590	1	1
5 33	3 4287	1	1
5 34	4 2653	1	1
5 34	6 4764	1	1
5 34	7 326	1	1
5 34	2 927	1	1
5 34	2 4027	1	1
5 34	6 3190	1	1
5 35	5 4826	1	1
5 35	3 3750	1	1
5 35	6 3309	1	1
5 35	2 4430	1	1
5 35	3 384	1	1
5 35	3 2754	1	1
5 36	5 4181	1	1
5 36	5 3539	1	1
5 36	0 29	1	1
5 36	7 3429	1	1
5 36	3 3421	1	1
5 36	7 1700	1	1
5 37	6 234	1	1
5 37	3 1053	1	1
5 37	6 3566	1	1
5 37	3 4135	1	1
5 37	0 861	1	1
5 37	3 4456	1	1
5 38	5 4506	1	1
5 38	5 4134	1	1
5 38	5 2259	1	1
5 38	4 3052	1	1
5 38	7 1929	1	1
5 38	4 2729	1	1
5 39	5 3131	1	1
5 39	3 4229	1	1
5 39	2 65	1	1
5 39	1 651	1	1
5 39	7 1187	1	1
5 39	4 4404	1	1
5 40	5 2474	1	1
5 40	5 4105	1	1
5 40	7 629	1	1
5 40	4 4605	1	1
5 40	6 2073	1	1
5 40	2 2490	1	1
5 41	1 774	1	1
