# Total number neurons: 4000
# Local number neurons: 1000
# Number MPI ranks: 4
# Current simulation step: 1003
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
3 1	3 700	1	1
3 1	3 414	1	1
3 1	3 104	1	1
3 1	0 760	1	1
3 1	2 510	1	1
3 1	1 714	1	1
3 1	0 124	1	1
3 1	1 552	1	1
3 1	1 545	1	1
3 1	0 541	1	1
3 1	2 336	1	1
3 1	0 306	1	1
3 1	0 642	1	1
3 1	2 604	1	1
3 1	0 390	1	1
3 1	2 407	1	1
3 1	1 940	1	1
3 2	3 478	1	1
3 2	3 81	1	1
3 2	3 665	1	1
3 2	1 950	1	1
3 2	2 828	1	1
3 2	2 307	1	1
3 2	2 94	1	1
3 2	0 47	1	1
3 2	1 128	1	1
3 2	1 820	1	1
3 2	0 124	1	1
3 2	1 414	1	1
3 2	0 464	1	1
3 2	2 957	1	1
3 2	1 707	1	1
3 2	2 548	1	1
3 2	1 986	1	1
3 3	3 14	1	1
3 3	3 311	1	1
3 3	3 25	1	1
3 3	3 298	1	1
3 3	3 854	1	1
3 3	3 41	1	1
3 3	3 416	1	1
3 3	0 29	1	1
3 3	0 272	1	1
3 3	0 621	1	1
3 3	0 592	1	1
3 3	1 354	1	1
3 3	1 202	1	1
3 3	2 30	1	1
3 3	2 499	1	1
3 3	1 589	1	1
3 3	1 693	1	1
3 4	3 968	1	1
3 4	3 114	1	1
3 4	3 352	1	1
3 4	3 467	1	1
3 4	1 939	1	1
3 4	0 377	1	1
3 4	0 504	1	1
3 4	0 420	1	1
3 4	0 461	1	1
3 4	2 771	1	1
3 4	1 901	1	1
3 4	1 546	1	1
3 4	1 946	1	1
3 4	1 269	1	1
3 4	2 247	1	1
3 4	0 117	1	1
3 4	0 741	1	1
3 5	3 642	1	1
3 5	3 957	1	1
3 5	3 602	1	1
3 5	0 976	1	1
3 5	0 549	1	1
3 5	2 1	1	1
3 5	1 390	1	1
3 5	1 941	1	1
3 5	0 57	1	1
3 5	2 472	1	1
3 5	1 275	1	1
3 5	2 214	1	1
3 5	0 737	1	1
3 5	1 210	1	1
3 5	2 207	1	1
3 5	2 443	1	1
3 5	0 729	1	1
3 6	3 301	1	1
3 6	3 342	1	1
3 6	3 809	1	1
3 6	3 255	1	1
3 6	3 469	1	1
3 6	3 970	1	1
3 6	0 164	1	1
3 6	1 891	1	1
3 6	0 182	1	1
3 6	0 445	1	1
3 6	1 284	1	1
3 6	1 636	1	1
3 6	2 376	1	1
3 6	2 227	1	1
3 6	0 672	1	1
3 6	2 846	1	1
3 6	2 667	1	1
3 7	3 505	1	1
3 7	3 635	1	1
3 7	3 403	1	1
3 7	3 646	1	1
3 7	3 173	1	1
3 7	2 906	1	1
3 7	0 174	1	1
3 7	2 236	1	1
3 7	2 769	1	1
3 7	1 394	1	1
3 7	2 311	1	1
3 7	2 497	1	1
3 7	0 782	1	1
3 7	1 222	1	1
3 7	1 94	1	1
3 7	0 511	1	1
3 7	1 341	1	1
3 8	3 508	1	1
3 8	3 37	1	1
3 8	3 227	1	1
3 8	3 446	1	1
3 8	3 784	1	1
3 8	0 643	1	1
3 8	0 982	1	1
3 8	0 310	1	1
3 8	0 788	1	1
3 8	1 691	1	1
3 8	2 720	1	1
3 8	0 429	1	1
3 8	1 631	1	1
3 8	0 498	1	1
3 8	2 205	1	1
3 8	0 872	1	1
3 8	2 857	1	1
3 9	3 473	1	1
3 9	3 916	1	1
3 9	3 361	1	1
3 9	2 963	1	1
3 9	0 164	1	1
3 9	2 398	1	1
3 9	0 929	1	1
3 9	2 534	1	1
3 9	0 827	1	1
3 9	0 860	1	1
3 9	0 892	1	1
3 9	1 237	1	1
3 9	0 220	1	1
3 9	2 825	1	1
3 9	2 929	1	1
3 9	2 160	1	1
3 9	2 948	1	1
3 10	3 318	1	1
3 10	3 461	1	1
3 10	3 623	1	1
3 10	3 625	1	1
3 10	3 402	1	1
3 10	3 893	1	1
3 10	2 812	1	1
3 10	0 964	1	1
3 10	1 878	1	1
3 10	2 886	1	1
3 10	0 32	1	1
3 10	2 274	1	1
3 10	2 431	1	1
3 10	0 17	1	1
3 10	1 360	1	1
3 10	1 435	1	1
3 10	0 462	1	1
3 11	3 69	1	1
3 11	3 371	1	1
3 11	3 479	1	1
3 11	3 214	1	1
3 11	3 321	1	1
3 11	0 65	1	1
3 11	2 776	1	1
3 11	2 5	1	1
3 11	1 247	1	1
3 11	0 703	1	1
3 11	2 957	1	1
3 11	0 291	1	1
3 11	1 593	1	1
3 11	1 446	1	1
3 11	2 178	1	1
3 11	2 473	1	1
3 11	2 567	1	1
3 12	3 136	1	1
3 12	3 28	1	1
3 12	3 250	1	1
3 12	3 584	1	1
3 12	3 487	1	1
3 12	3 407	1	1
3 12	1 502	1	1
3 12	1 609	1	1
3 12	2 712	1	1
3 12	2 77	1	1
3 12	2 85	1	1
3 12	1 657	1	1
3 12	0 947	1	1
3 12	2 974	1	1
3 12	0 108	1	1
3 12	2 501	1	1
3 12	0 681	1	1
3 13	3 838	1	1
3 13	3 545	1	1
3 13	3 468	1	1
3 13	3 668	1	1
3 13	3 804	1	1
3 13	3 887	1	1
3 13	0 4	1	1
3 13	1 47	1	1
3 13	2 262	1	1
3 13	1 57	1	1
3 13	0 667	1	1
3 13	2 175	1	1
3 13	2 926	1	1
3 13	1 372	1	1
3 13	2 530	1	1
3 13	1 945	1	1
3 13	2 622	1	1
3 14	3 927	1	1
3 14	3 458	1	1
3 14	3 643	1	1
3 14	3 234	1	1
3 14	3 131	1	1
3 14	0 923	1	1
3 14	1 969	1	1
3 14	2 98	1	1
3 14	2 417	1	1
3 14	2 532	1	1
3 14	0 990	1	1
3 14	2 834	1	1
3 14	2 200	1	1
3 14	0 166	1	1
3 14	2 871	1	1
3 14	2 692	1	1
3 14	2 225	1	1
3 15	3 895	1	1
3 15	3 40	1	1
3 15	3 740	1	1
3 15	3 913	1	1
3 15	3 645	1	1
3 15	1 116	1	1
3 15	1 401	1	1
3 15	2 587	1	1
3 15	2 930	1	1
3 15	2 859	1	1
3 15	2 323	1	1
3 15	1 8	1	1
3 15	1 925	1	1
3 15	0 474	1	1
3 15	2 420	1	1
3 15	1 505	1	1
3 15	0 165	1	1
3 16	3 732	1	1
3 16	3 59	1	1
3 16	3 114	1	1
3 16	2 557	1	1
3 16	2 384	1	1
3 16	1 631	1	1
3 16	2 701	1	1
3 16	1 456	1	1
3 16	0 169	1	1
3 16	1 768	1	1
3 16	0 428	1	1
3 16	2 255	1	1
3 16	1 224	1	1
3 16	0 231	1	1
3 16	2 671	1	1
3 16	1 208	1	1
3 16	1 200	1	1
3 17	3 6	1	1
3 17	3 880	1	1
3 17	3 868	1	1
3 17	3 708	1	1
3 17	3 124	1	1
3 17	3 747	1	1
3 17	1 749	1	1
3 17	1 183	1	1
3 17	2 231	1	1
3 17	1 238	1	1
3 17	2 239	1	1
3 17	1 660	1	1
3 17	0 337	1	1
3 17	0 553	1	1
3 17	1 434	1	1
3 17	2 709	1	1
3 17	1 587	1	1
3 18	3 832	1	1
3 18	3 449	1	1
3 18	3 558	1	1
3 18	0 734	1	1
3 18	2 52	1	1
3 18	0 641	1	1
3 18	1 858	1	1
3 18	2 318	1	1
3 18	1 435	1	1
3 18	0 591	1	1
3 18	1 448	1	1
3 18	0 55	1	1
3 18	2 577	1	1
3 18	2 514	1	1
3 18	1 973	1	1
3 18	1 390	1	1
3 18	0 776	1	1
3 19	3 796	1	1
3 19	3 417	1	1
3 19	3 930	1	1
3 19	3 275	1	1
3 19	3 612	1	1
3 19	1 362	1	1
3 19	1 384	1	1
3 19	2 920	1	1
3 19	2 745	1	1
3 19	1 424	1	1
3 19	1 13	1	1
3 19	1 910	1	1
3 19	0 599	1	1
3 19	1 724	1	1
3 19	0 698	1	1
3 19	0 546	1	1
3 19	0 87	1	1
3 20	3 767	1	1
3 20	3 721	1	1
3 20	3 753	1	1
3 20	3 620	1	1
3 20	1 599	1	1
3 20	2 675	1	1
3 20	1 404	1	1
3 20	0 352	1	1
3 20	2 863	1	1
3 20	1 919	1	1
3 20	2 733	1	1
3 20	1 446	1	1
3 20	0 969	1	1
3 20	1 509	1	1
3 20	2 344	1	1
3 20	1 583	1	1
3 20	2 303	1	1
3 21	3 341	1	1
3 21	3 669	1	1
3 21	3 932	1	1
3 21	2 637	1	1
3 21	0 888	1	1
3 21	0 881	1	1
3 21	1 109	1	1
3 21	2 828	1	1
3 21	1 574	1	1
3 21	2 194	1	1
3 21	2 886	1	1
3 21	1 943	1	1
3 21	2 203	1	1
3 21	0 762	1	1
3 21	2 392	1	1
3 21	1 427	1	1
3 21	1 193	1	1
3 22	3 84	1	1
3 22	3 331	1	1
3 22	2 862	1	1
3 22	2 871	1	1
3 22	2 964	1	1
3 22	0 265	1	1
3 22	1 450	1	1
3 22	1 576	1	1
3 22	1 787	1	1
3 22	1 398	1	1
3 22	0 48	1	1
3 22	2 354	1	1
3 22	2 37	1	1
3 22	1 379	1	1
3 22	2 61	1	1
3 22	1 361	1	1
3 22	2 174	1	1
3 23	3 28	1	1
3 23	3 622	1	1
3 23	3 125	1	1
3 23	3 154	1	1
3 23	3 658	1	1
3 23	2 810	1	1
3 23	1 988	1	1
3 23	2 414	1	1
3 23	2 664	1	1
3 23	1 381	1	1
3 23	0 80	1	1
3 23	2 69	1	1
3 23	2 801	1	1
3 23	1 386	1	1
3 23	1 89	1	1
3 23	0 288	1	1
3 23	1 338	1	1
3 24	3 488	1	1
3 24	3 977	1	1
3 24	3 565	1	1
3 24	3 121	1	1
3 24	2 672	1	1
3 24	0 376	1	1
3 24	1 679	1	1
3 24	1 860	1	1
3 24	2 978	1	1
3 24	2 899	1	1
3 24	1 201	1	1
3 24	0 141	1	1
3 24	1 776	1	1
3 24	1 173	1	1
3 24	1 504	1	1
3 24	0 225	1	1
3 24	2 302	1	1
3 25	3 927	1	1
3 25	3 904	1	1
3 25	3 34	1	1
3 25	3 64	1	1
3 25	0 689	1	1
3 25	1 786	1	1
3 25	1 768	1	1
3 25	2 343	1	1
3 25	2 667	1	1
3 25	1 569	1	1
3 25	2 865	1	1
3 25	0 761	1	1
3 25	0 830	1	1
3 25	1 552	1	1
3 25	1 811	1	1
3 25	2 917	1	1
3 25	1 632	1	1
3 26	3 782	1	1
3 26	3 2	1	1
3 26	3 912	1	1
3 26	0 764	1	1
3 26	0 970	1	1
3 26	2 204	1	1
3 26	0 654	1	1
3 26	2 604	1	1
3 26	2 608	1	1
3 26	2 692	1	1
3 26	2 44	1	1
3 26	0 975	1	1
3 26	0 361	1	1
3 26	0 786	1	1
3 26	0 698	1	1
3 26	0 871	1	1
3 26	2 502	1	1
3 27	3 197	1	1
3 27	3 370	1	1
3 27	3 463	1	1
3 27	3 234	1	1
3 27	3 114	1	1
3 27	1 741	1	1
3 27	0 835	1	1
3 27	1 783	1	1
3 27	1 723	1	1
3 27	0 512	1	1
3 27	0 555	1	1
3 27	0 666	1	1
3 27	2 808	1	1
3 27	0 386	1	1
3 27	0 894	1	1
3 27	1 577	1	1
3 27	1 102	1	1
3 28	3 244	1	1
3 28	3 92	1	1
3 28	3 1	1	1
3 28	3 934	1	1
3 28	3 217	1	1
3 28	2 380	1	1
3 28	2 159	1	1
3 28	1 854	1	1
3 28	0 885	1	1
3 28	2 608	1	1
3 28	2 754	1	1
3 28	1 62	1	1
3 28	0 678	1	1
3 28	2 284	1	1
3 28	1 189	1	1
3 28	1 944	1	1
3 28	2 373	1	1
3 29	3 136	1	1
3 29	3 949	1	1
3 29	3 670	1	1
3 29	3 835	1	1
3 29	3 666	1	1
3 29	0 225	1	1
3 29	1 511	1	1
3 29	2 920	1	1
3 29	1 464	1	1
3 29	1 112	1	1
3 29	2 516	1	1
3 29	0 360	1	1
3 29	2 379	1	1
3 29	1 67	1	1
3 29	1 700	1	1
3 29	1 142	1	1
3 29	1 674	1	1
3 30	3 786	1	1
3 30	3 226	1	1
3 30	3 230	1	1
3 30	1 384	1	1
3 30	0 868	1	1
3 30	1 118	1	1
3 30	1 832	1	1
3 30	2 986	1	1
3 30	1 284	1	1
3 30	2 360	1	1
3 30	0 513	1	1
3 30	0 120	1	1
3 30	2 229	1	1
3 30	0 748	1	1
3 30	0 849	1	1
3 30	0 130	1	1
3 30	1 932	1	1
3 31	3 18	1	1
3 31	3 786	1	1
3 31	3 567	1	1
3 31	3 646	1	1
3 31	0 374	1	1
3 31	0 713	1	1
3 31	1 100	1	1
3 31	1 946	1	1
3 31	0 508	1	1
3 31	0 740	1	1
3 31	2 769	1	1
3 31	1 272	1	1
3 31	2 264	1	1
3 31	2 368	1	1
3 31	2 295	1	1
3 31	0 763	1	1
3 31	1 846	1	1
3 32	3 252	1	1
3 32	3 816	1	1
3 32	3 59	1	1
3 32	3 8	1	1
3 32	0 316	1	1
3 32	2 281	1	1
3 32	1 146	1	1
3 32	1 458	1	1
3 32	1 663	1	1
3 32	2 623	1	1
3 32	1 727	1	1
3 32	2 757	1	1
3 32	2 895	1	1
3 32	0 357	1	1
3 32	2 96	1	1
3 32	1 857	1	1
3 32	0 57	1	1
3 33	3 633	1	1
3 33	3 758	1	1
3 33	3 690	1	1
3 33	3 492	1	1
3 33	1 477	1	1
3 33	1 834	1	1
3 33	2 174	1	1
3 33	1 286	1	1
3 33	2 790	1	1
3 33	2 600	1	1
3 33	0 328	1	1
3 33	1 333	1	1
3 33	2 956	1	1
