# Total number neurons: 4000
# Local number neurons: 1000
# Number MPI ranks: 4
# Current simulation step: 1003
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
2 1	2 477	1	1
2 1	2 744	1	1
2 1	2 360	1	1
2 1	2 183	1	1
2 1	2 463	1	1
2 1	3 524	1	1
2 1	3 74	1	1
2 1	3 327	1	1
2 1	1 202	1	1
2 1	1 926	1	1
2 1	1 610	1	1
2 1	0 636	1	1
2 1	3 571	1	1
2 1	3 46	1	1
2 1	1 342	1	1
2 1	1 262	1	1
2 1	0 952	1	1
2 2	2 155	1	1
2 2	2 948	1	1
2 2	2 859	1	1
2 2	2 937	1	1
2 2	2 182	1	1
2 2	2 90	1	1
2 2	0 566	1	1
2 2	0 707	1	1
2 2	1 251	1	1
2 2	1 783	1	1
2 2	1 796	1	1
2 2	1 922	1	1
2 2	3 591	1	1
2 2	3 984	1	1
2 2	3 128	1	1
2 2	0 898	1	1
2 2	1 445	1	1
2 3	2 659	1	1
2 3	2 893	1	1
2 3	2 239	1	1
2 3	2 354	1	1
2 3	2 778	1	1
2 3	2 519	1	1
2 3	1 141	1	1
2 3	3 788	1	1
2 3	1 777	1	1
2 3	1 362	1	1
2 3	0 624	1	1
2 3	1 857	1	1
2 3	3 752	1	1
2 3	3 366	1	1
2 3	3 604	1	1
2 3	0 236	1	1
2 3	0 232	1	1
2 4	2 792	1	1
2 4	2 555	1	1
2 4	2 232	1	1
2 4	2 170	1	1
2 4	2 237	1	1
2 4	2 739	1	1
2 4	1 363	1	1
2 4	3 811	1	1
2 4	3 979	1	1
2 4	0 929	1	1
2 4	0 710	1	1
2 4	0 270	1	1
2 4	3 232	1	1
2 4	3 719	1	1
2 4	0 677	1	1
2 4	1 368	1	1
2 4	0 997	1	1
2 5	2 93	1	1
2 5	2 54	1	1
2 5	2 164	1	1
2 5	0 249	1	1
2 5	1 935	1	1
2 5	1 767	1	1
2 5	0 689	1	1
2 5	0 362	1	1
2 5	0 767	1	1
2 5	3 921	1	1
2 5	1 972	1	1
2 5	3 448	1	1
2 5	0 656	1	1
2 5	0 906	1	1
2 5	0 979	1	1
2 5	1 73	1	1
2 5	1 698	1	1
2 6	2 697	1	1
2 6	2 934	1	1
2 6	2 80	1	1
2 6	2 96	1	1
2 6	0 416	1	1
2 6	1 323	1	1
2 6	0 536	1	1
2 6	3 404	1	1
2 6	0 692	1	1
2 6	3 938	1	1
2 6	0 400	1	1
2 6	1 931	1	1
2 6	0 304	1	1
2 6	0 419	1	1
2 6	0 861	1	1
2 6	3 704	1	1
2 6	3 978	1	1
2 7	2 885	1	1
2 7	2 338	1	1
2 7	2 886	1	1
2 7	1 280	1	1
2 7	3 865	1	1
2 7	3 888	1	1
2 7	3 223	1	1
2 7	0 617	1	1
2 7	1 917	1	1
2 7	1 576	1	1
2 7	3 448	1	1
2 7	3 460	1	1
2 7	0 223	1	1
2 7	1 584	1	1
2 7	1 745	1	1
2 7	1 263	1	1
2 7	1 137	1	1
2 8	2 218	1	1
2 8	2 221	1	1
2 8	0 352	1	1
2 8	0 359	1	1
2 8	0 869	1	1
2 8	3 20	1	1
2 8	3 725	1	1
2 8	1 414	1	1
2 8	3 609	1	1
2 8	1 541	1	1
2 8	1 283	1	1
2 8	0 202	1	1
2 8	3 370	1	1
2 8	1 590	1	1
2 8	3 387	1	1
2 8	3 796	1	1
2 8	3 738	1	1
2 9	2 127	1	1
2 9	2 361	1	1
2 9	2 642	1	1
2 9	2 444	1	1
2 9	3 246	1	1
2 9	1 747	1	1
2 9	1 223	1	1
2 9	3 79	1	1
2 9	3 346	1	1
2 9	0 936	1	1
2 9	0 569	1	1
2 9	0 598	1	1
2 9	3 16	1	1
2 9	0 176	1	1
2 9	1 140	1	1
2 9	1 170	1	1
2 9	3 318	1	1
2 10	2 843	1	1
2 10	2 577	1	1
2 10	0 670	1	1
2 10	1 102	1	1
2 10	3 482	1	1
2 10	0 876	1	1
2 10	0 481	1	1
2 10	1 811	1	1
2 10	3 772	1	1
2 10	0 524	1	1
2 10	0 226	1	1
2 10	3 971	1	1
2 10	3 616	1	1
2 10	1 425	1	1
2 10	3 878	1	1
2 10	0 576	1	1
2 10	3 375	1	1
2 11	2 242	1	1
2 11	2 919	1	1
2 11	2 141	1	1
2 11	2 967	1	1
2 11	2 239	1	1
2 11	2 124	1	1
2 11	2 259	1	1
2 11	0 787	1	1
2 11	0 323	1	1
2 11	0 97	1	1
2 11	3 90	1	1
2 11	1 434	1	1
2 11	1 420	1	1
2 11	0 557	1	1
2 11	3 562	1	1
2 11	3 954	1	1
2 11	1 615	1	1
2 12	2 730	1	1
2 12	2 963	1	1
2 12	2 121	1	1
2 12	2 142	1	1
2 12	2 985	1	1
2 12	1 746	1	1
2 12	0 91	1	1
2 12	3 378	1	1
2 12	0 417	1	1
2 12	3 273	1	1
2 12	3 34	1	1
2 12	3 517	1	1
2 12	1 611	1	1
2 12	1 897	1	1
2 12	1 438	1	1
2 12	0 869	1	1
2 12	0 687	1	1
2 13	2 957	1	1
2 13	2 792	1	1
2 13	2 185	1	1
2 13	2 259	1	1
2 13	2 679	1	1
2 13	1 44	1	1
2 13	0 672	1	1
2 13	0 416	1	1
2 13	0 321	1	1
2 13	1 561	1	1
2 13	3 140	1	1
2 13	1 827	1	1
2 13	0 823	1	1
2 13	3 484	1	1
2 13	3 238	1	1
2 13	3 880	1	1
2 13	3 733	1	1
2 14	2 329	1	1
2 14	2 338	1	1
2 14	2 945	1	1
2 14	2 56	1	1
2 14	0 855	1	1
2 14	0 991	1	1
2 14	0 401	1	1
2 14	3 305	1	1
2 14	1 999	1	1
2 14	3 443	1	1
2 14	0 501	1	1
2 14	0 551	1	1
2 14	1 593	1	1
2 14	1 793	1	1
2 14	0 234	1	1
2 14	1 235	1	1
2 14	3 840	1	1
2 15	2 949	1	1
2 15	2 990	1	1
2 15	2 852	1	1
2 15	2 815	1	1
2 15	1 538	1	1
2 15	0 387	1	1
2 15	0 556	1	1
2 15	0 965	1	1
2 15	1 997	1	1
2 15	3 422	1	1
2 15	0 914	1	1
2 15	0 577	1	1
2 15	0 50	1	1
2 15	3 895	1	1
2 15	0 550	1	1
2 15	1 31	1	1
2 15	3 216	1	1
2 16	2 165	1	1
2 16	2 940	1	1
2 16	2 656	1	1
2 16	2 638	1	1
2 16	2 282	1	1
2 16	2 640	1	1
2 16	2 328	1	1
2 16	3 538	1	1
2 16	1 537	1	1
2 16	0 571	1	1
2 16	0 992	1	1
2 16	1 283	1	1
2 16	1 133	1	1
2 16	1 985	1	1
2 16	0 280	1	1
2 16	0 341	1	1
2 16	0 552	1	1
2 17	2 29	1	1
2 17	2 989	1	1
2 17	2 150	1	1
2 17	3 15	1	1
2 17	0 306	1	1
2 17	3 49	1	1
2 17	3 124	1	1
2 17	0 249	1	1
2 17	0 268	1	1
2 17	3 907	1	1
2 17	0 132	1	1
2 17	3 897	1	1
2 17	0 917	1	1
2 17	3 389	1	1
2 17	1 780	1	1
2 17	1 880	1	1
2 17	0 568	1	1
2 18	2 887	1	1
2 18	2 220	1	1
2 18	2 702	1	1
2 18	2 454	1	1
2 18	2 573	1	1
2 18	2 834	1	1
2 18	2 619	1	1
2 18	2 905	1	1
2 18	3 931	1	1
2 18	3 828	1	1
2 18	1 909	1	1
2 18	0 473	1	1
2 18	1 869	1	1
2 18	1 842	1	1
2 18	0 155	1	1
2 18	3 949	1	1
2 18	0 10	1	1
2 19	2 1000	1	1
2 19	2 75	1	1
2 19	2 210	1	1
2 19	2 143	1	1
2 19	2 487	1	1
2 19	3 923	1	1
2 19	1 786	1	1
2 19	1 549	1	1
2 19	1 345	1	1
2 19	3 821	1	1
2 19	3 941	1	1
2 19	0 478	1	1
2 19	3 921	1	1
2 19	0 197	1	1
2 19	1 775	1	1
2 19	1 681	1	1
2 19	0 118	1	1
2 20	2 471	1	1
2 20	2 961	1	1
2 20	2 437	1	1
2 20	2 417	1	1
2 20	3 484	1	1
2 20	1 456	1	1
2 20	3 838	1	1
2 20	0 374	1	1
2 20	0 451	1	1
2 20	1 758	1	1
2 20	3 47	1	1
2 20	0 533	1	1
2 20	1 914	1	1
2 20	1 165	1	1
2 20	0 655	1	1
2 20	0 456	1	1
2 20	0 468	1	1
2 21	2 554	1	1
2 21	1 205	1	1
2 21	3 876	1	1
2 21	1 420	1	1
2 21	3 284	1	1
2 21	3 747	1	1
2 21	3 943	1	1
2 21	1 193	1	1
2 21	0 418	1	1
2 21	3 763	1	1
2 21	1 339	1	1
2 21	0 499	1	1
2 21	0 72	1	1
2 21	3 681	1	1
2 21	1 773	1	1
2 21	3 931	1	1
2 21	3 937	1	1
2 22	2 63	1	1
2 22	2 857	1	1
2 22	2 728	1	1
2 22	2 645	1	1
2 22	2 929	1	1
2 22	2 785	1	1
2 22	1 818	1	1
2 22	1 120	1	1
2 22	1 535	1	1
2 22	1 797	1	1
2 22	1 415	1	1
2 22	3 553	1	1
2 22	3 39	1	1
2 22	0 551	1	1
2 22	1 863	1	1
2 22	3 417	1	1
2 22	0 146	1	1
2 23	2 58	1	1
2 23	2 729	1	1
2 23	2 914	1	1
2 23	2 549	1	1
2 23	2 677	1	1
2 23	1 507	1	1
2 23	0 819	1	1
