# Total number neurons: 4000
# Local number neurons: 1000
# Number MPI ranks: 4
# Current simulation step: 1003
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
3 445	3 1	1	1
3 991	3 1	1	1
3 28	3 1	1	1
3 986	3 1	1	1
0 939	3 1	1	1
0 956	3 1	1	1
0 895	3 1	1	1
1 963	3 1	1	1
1 113	3 1	1	1
1 944	3 1	1	1
1 70	3 1	1	1
2 260	3 1	1	1
2 217	3 1	1	1
2 878	3 1	1	1
2 224	3 1	1	1
2 669	3 1	1	1
2 777	3 1	1	1
3 460	3 2	1	1
3 870	3 2	1	1
3 26	3 2	1	1
3 938	3 2	1	1
3 101	3 2	1	1
3 37	3 2	1	1
0 994	3 2	1	1
0 314	3 2	1	1
1 491	3 2	1	1
1 674	3 2	1	1
1 527	3 2	1	1
2 343	3 2	1	1
2 447	3 2	1	1
2 235	3 2	1	1
2 635	3 2	1	1
2 260	3 2	1	1
2 608	3 2	1	1
3 293	3 3	1	1
3 241	3 3	1	1
3 350	3 3	1	1
3 642	3 3	1	1
3 58	3 3	1	1
3 238	3 3	1	1
0 30	3 3	1	1
0 990	3 3	1	1
1 251	3 3	1	1
1 88	3 3	1	1
1 944	3 3	1	1
1 352	3 3	1	1
1 310	3 3	1	1
1 25	3 3	1	1
2 525	3 3	1	1
2 256	3 3	1	1
2 828	3 3	1	1
3 140	3 4	1	1
3 955	3 4	1	1
3 217	3 4	1	1
3 585	3 4	1	1
0 290	3 4	1	1
0 687	3 4	1	1
1 172	3 4	1	1
1 911	3 4	1	1
1 66	3 4	1	1
1 263	3 4	1	1
1 352	3 4	1	1
1 417	3 4	1	1
1 463	3 4	1	1
2 84	3 4	1	1
2 292	3 4	1	1
2 223	3 4	1	1
2 298	3 4	1	1
3 816	3 5	1	1
3 511	3 5	1	1
3 817	3 5	1	1
3 533	3 5	1	1
0 395	3 5	1	1
0 742	3 5	1	1
0 647	3 5	1	1
0 496	3 5	1	1
0 415	3 5	1	1
1 839	3 5	1	1
1 63	3 5	1	1
1 50	3 5	1	1
1 47	3 5	1	1
1 331	3 5	1	1
2 368	3 5	1	1
2 428	3 5	1	1
2 273	3 5	1	1
3 518	3 6	1	1
3 17	3 6	1	1
3 268	3 6	1	1
3 278	3 6	1	1
3 121	3 6	1	1
0 179	3 6	1	1
0 156	3 6	1	1
0 479	3 6	1	1
0 394	3 6	2	1
0 912	3 6	1	1
0 476	3 6	1	1
0 104	3 6	1	1
1 7	3 6	1	1
1 447	3 6	1	1
1 154	3 6	1	1
2 180	3 6	1	1
3 568	3 7	1	1
0 1000	3 7	1	1
0 668	3 7	1	1
1 368	3 7	1	1
1 695	3 7	1	1
1 758	3 7	1	1
1 420	3 7	1	1
1 692	3 7	1	1
1 537	3 7	1	1
2 974	3 7	1	1
2 292	3 7	1	1
2 776	3 7	1	1
2 869	3 7	1	1
2 909	3 7	1	1
2 151	3 7	1	1
2 819	3 7	1	1
2 232	3 7	1	1
3 533	3 8	1	1
3 729	3 8	1	1
3 635	3 8	1	1
3 864	3 8	1	1
3 32	3 8	1	1
3 43	3 8	1	1
0 491	3 8	1	1
0 817	3 8	1	1
1 478	3 8	1	1
2 611	3 8	1	1
2 598	3 8	1	1
2 915	3 8	1	1
2 38	3 8	1	1
2 152	3 8	1	1
1 10	3 8	1	1
1 420	3 8	1	1
1 59	3 8	1	1
3 894	3 9	1	1
3 792	3 9	1	1
3 459	3 9	1	1
3 431	3 9	1	1
3 700	3 9	1	1
3 602	3 9	1	1
3 212	3 9	1	1
3 209	3 9	1	1
0 129	3 9	1	1
0 755	3 9	1	1
0 638	3 9	1	1
1 671	3 9	1	1
1 949	3 9	1	1
1 650	3 9	1	1
2 987	3 9	1	1
2 231	3 9	1	1
2 294	3 9	1	1
3 218	3 10	1	1
3 549	3 10	1	1
0 799	3 10	1	1
0 430	3 10	1	1
0 959	3 10	1	1
0 524	3 10	1	1
1 987	3 10	1	1
1 417	3 10	1	1
1 679	3 10	1	1
1 105	3 10	1	1
2 241	3 10	1	1
2 868	3 10	1	1
2 810	3 10	1	1
2 720	3 10	1	1
2 777	3 10	1	1
2 570	3 10	1	1
1 325	3 10	1	1
3 347	3 11	1	1
3 737	3 11	1	1
3 419	3 11	1	1
0 760	3 11	1	1
0 525	3 11	1	1
0 845	3 11	1	1
0 789	3 11	1	1
0 546	3 11	1	1
