# Total number neurons: 20000
# Local number neurons: 5000
# Number MPI ranks: 4
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
1 4530	1 1	1	1
1 4343	1 1	1	1
2 2785	1 1	1	1
2 1638	1 1	1	1
0 770	1 1	1	1
0 3454	1 1	1	1
1 1928	1 2	1	1
0 4688	1 2	1	1
0 286	1 2	1	1
0 1175	1 2	1	1
0 3237	1 2	1	1
2 2375	1 2	1	1
1 2760	1 3	1	1
0 383	1 3	1	1
2 4076	1 3	1	1
2 2998	1 3	1	1
3 563	1 3	1	1
3 1265	1 3	1	1
1 3325	1 4	1	1
0 135	1 4	1	1
0 1718	1 4	1	1
3 3396	1 4	1	1
3 2945	1 4	1	1
0 1685	1 4	1	1
1 4420	1 5	1	1
2 3748	1 5	1	1
2 776	1 5	1	1
2 1634	1 5	1	1
3 724	1 5	1	1
2 2939	1 5	1	1
1 1681	1 6	1	1
1 1086	1 6	1	1
1 2381	1 6	1	1
0 446	1 6	1	1
0 135	1 6	1	1
3 1570	1 6	1	1
1 1824	1 7	1	1
1 2578	1 7	1	1
0 1793	1 7	1	1
0 3733	1 7	1	1
2 2329	1 7	1	1
2 4335	1 7	1	1
1 4609	1 8	1	1
0 3154	1 8	1	1
2 4	1 8	1	1
2 3541	1 8	1	1
3 3668	1 8	1	1
0 1535	1 8	1	1
1 3152	1 9	1	1
1 3106	1 9	1	1
2 1307	1 9	1	1
2 1357	1 9	1	1
3 1659	1 9	1	1
2 2612	1 9	1	1
1 2281	1 10	1	1
1 3895	1 10	1	1
1 4278	1 10	1	1
0 4588	1 10	1	1
0 786	1 10	1	1
2 2607	1 10	1	1
1 3167	1 11	1	1
0 3142	1 11	1	1
2 2361	1 11	1	1
2 3740	1 11	1	1
3 3452	1 11	1	1
0 2638	1 11	1	1
1 4228	1 12	1	1
0 2664	1 12	1	1
2 2216	1 12	1	1
2 4881	1 12	1	1
2 2138	1 12	1	1
3 1864	1 12	1	1
1 4219	1 13	1	1
1 1069	1 13	1	1
1 137	1 13	1	1
0 960	1 13	1	1
2 4054	1 13	1	1
2 4897	1 13	1	1
1 4818	1 14	1	1
0 651	1 14	1	1
0 3831	1 14	1	1
2 1836	1 14	1	1
2 568	1 14	1	1
2 1311	1 14	1	1
1 2403	1 15	1	1
0 4061	1 15	1	1
3 4581	1 15	1	1
0 1897	1 15	1	1
0 3259	1 15	1	1
3 1592	1 15	1	1
1 3241	1 16	1	1
1 4759	1 16	1	1
1 652	1 16	1	1
0 3626	1 16	1	1
3 3426	1 16	1	1
3 823	1 16	1	1
1 4863	1 17	1	1
0 3353	1 17	1	1
0 3664	1 17	1	1
2 4296	1 17	1	1
3 3466	1 17	1	1
3 2395	1 17	1	1
1 2955	1 18	1	1
2 2923	1 18	1	1
2 2361	1 18	1	1
2 2118	1 18	1	1
2 4030	1 18	1	1
3 4734	1 18	1	1
1 2726	1 19	1	1
1 3437	1 19	1	1
