# Total number neurons: 20000
# Local number neurons: 5000
# Number MPI ranks: 4
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
2 1497	2 1	1	1
2 703	2 1	1	1
2 2384	2 1	1	1
0 3046	2 1	1	1
0 562	2 1	1	1
1 1420	2 1	1	1
2 2729	2 2	1	1
2 4231	2 2	1	1
0 1960	2 2	1	1
0 2473	2 2	1	1
1 1183	2 2	1	1
3 326	2 2	1	1
2 4152	2 3	1	1
0 2736	2 3	1	1
0 2179	2 3	1	1
0 3425	2 3	1	1
1 823	2 3	1	1
3 3043	2 3	1	1
0 2182	2 4	1	1
1 3968	2 4	1	1
1 222	2 4	1	1
1 3696	2 4	1	1
0 3967	2 4	1	1
1 4629	2 4	1	1
2 4818	2 5	1	1
0 3050	2 5	1	1
0 1350	2 5	1	1
0 3186	2 5	1	1
1 705	2 5	1	1
1 1967	2 5	1	1
2 1242	2 6	1	1
2 3803	2 6	1	1
1 2734	2 6	1	1
1 3811	2 6	1	1
3 3667	2 6	1	1
3 3542	2 6	1	1
2 1618	2 7	1	1
2 2463	2 7	1	1
2 814	2 7	1	1
2 2527	2 7	1	1
3 4457	2 7	1	1
3 3935	2 7	1	1
2 1087	2 8	1	1
2 460	2 8	1	1
0 726	2 8	1	1
0 2286	2 8	1	1
1 4222	2 8	1	1
3 2910	2 8	1	1
2 2519	2 9	1	1
2 1572	2 9	1	1
0 1982	2 9	1	1
1 2932	2 9	1	1
1 3509	2 9	1	1
1 3894	2 9	1	1
2 1766	2 10	1	1
2 2462	2 10	1	1
0 2229	2 10	1	1
3 821	2 10	1	1
0 3073	2 10	1	1
1 77	2 10	1	1
2 4925	2 11	1	1
2 4245	2 11	1	1
2 344	2 11	1	1
1 2335	2 11	1	1
3 1522	2 11	1	1
3 4844	2 11	1	1
2 827	2 12	1	1
0 2189	2 12	1	1
1 3896	2 12	1	1
1 1771	2 12	1	1
3 3733	2 12	1	1
3 2181	2 12	1	1
2 4404	2 13	1	1
2 920	2 13	1	1
2 498	2 13	1	1
0 2844	2 13	1	1
1 3697	2 13	1	1
1 187	2 13	1	1
2 1773	2 14	1	1
2 2540	2 14	1	1
1 2595	2 14	1	1
1 3793	2 14	1	1
1 4160	2 14	1	1
3 3295	2 14	1	1
2 2493	2 15	1	1
2 678	2 15	1	1
0 2490	2 15	1	1
0 1894	2 15	1	1
1 3350	2 15	1	1
3 2663	2 15	1	1
2 1166	2 16	1	1
2 4005	2 16	1	1
0 4079	2 16	1	1
1 4764	2 16	1	1
3 213	2 16	1	1
3 4278	2 16	1	1
2 1877	2 17	1	1
0 2309	2 17	1	1
1 93	2 17	1	1
3 527	2 17	1	1
3 3292	2 17	1	1
1 951	2 17	1	1
0 3939	2 18	1	1
0 2291	2 18	1	1
1 4716	2 18	1	1
1 3763	2 18	1	1
3 1427	2 18	1	1
0 2452	2 18	1	1
0 1375	2 19	1	1
1 4115	2 19	1	1
1 388	2 19	1	1
3 672	2 19	1	1
3 3220	2 19	1	1
3 1784	2 19	1	1
2 4334	2 20	1	1
2 4313	2 20	1	1
0 4836	2 20	1	1
0 239	2 20	1	1
0 128	2 20	1	1
3 3078	2 20	1	1
2 288	2 21	1	1
2 3974	2 21	1	1
1 3794	2 21	1	1
1 2921	2 21	1	1
1 2987	2 21	1	1
3 181	2 21	1	1
2 3991	2 22	1	1
0 3213	2 22	1	1
0 2219	2 22	1	1
3 894	2 22	1	1
3 702	2 22	1	1
0 3377	2 22	1	1
2 3969	2 23	1	1
2 2332	2 23	1	1
2 2561	2 23	1	1
0 3545	2 23	1	1
0 2952	2 23	1	1
3 4993	2 23	1	1
2 3146	2 24	1	1
2 2853	2 24	1	1
2 912	2 24	1	1
0 4677	2 24	1	1
3 3453	2 24	1	1
1 2312	2 24	1	1
2 4453	2 25	1	1
2 4228	2 25	1	1
0 1855	2 25	1	1
0 150	2 25	1	1
1 3383	2 25	1	1
3 640	2 25	1	1
1 4030	2 26	1	1
1 4146	2 26	1	1
3 4661	2 26	1	1
3 4990	2 26	1	1
3 2466	2 26	1	1
3 349	2 26	1	1
2 3090	2 27	1	1
2 4973	2 27	1	1
2 1915	2 27	1	1
2 2363	2 27	1	1
0 410	2 27	1	1
3 1096	2 27	1	1
2 4693	2 28	1	1
1 1396	2 28	1	1
1 1296	2 28	1	1
3 3886	2 28	1	1
3 2297	2 28	1	1
0 1032	2 28	1	1
0 1291	2 29	1	1
0 3463	2 29	1	1
0 1954	2 29	1	1
3 2084	2 29	1	1
