# Total number neurons: 20000
# Local number neurons: 5000
# Number MPI ranks: 4
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
0 3412	3 1	1	1
1 3579	3 1	1	1
1 1643	3 1	1	1
2 973	3 1	1	1
2 3192	3 1	1	1
2 1821	3 1	1	1
3 1875	3 2	1	1
0 2064	3 2	1	1
1 4833	3 2	1	1
2 2386	3 2	1	1
2 4190	3 2	1	1
2 1862	3 2	1	1
3 2445	3 3	1	1
3 3269	3 3	1	1
0 891	3 3	1	1
1 1995	3 3	1	1
2 2895	3 3	1	1
2 1086	3 3	1	1
3 1951	3 4	1	1
3 380	3 4	1	1
3 409	3 4	1	1
1 776	3 4	1	1
1 294	3 4	1	1
2 3469	3 4	1	1
3 1870	3 5	1	1
3 253	3 5	1	1
0 2953	3 5	1	1
0 3050	3 5	1	1
1 2985	3 5	1	1
1 930	3 5	1	1
0 4375	3 6	1	1
0 4248	3 6	1	1
1 1615	3 6	1	1
2 4531	3 6	1	1
0 1895	3 6	1	1
2 3607	3 6	1	1
3 3650	3 7	1	1
3 3030	3 7	1	1
3 2740	3 7	1	1
0 4517	3 7	1	1
0 406	3 7	1	1
1 4891	3 7	1	1
3 3567	3 8	1	1
1 3122	3 8	1	1
1 152	3 8	1	1
1 2686	3 8	1	1
1 1963	3 8	1	1
0 618	3 8	1	1
3 2017	3 9	1	1
0 4802	3 9	1	1
2 907	3 9	1	1
2 2815	3 9	1	1
0 4806	3 9	1	1
1 1730	3 9	1	1
3 1332	3 10	1	1
3 3794	3 10	1	1
1 606	3 10	1	1
2 3062	3 10	1	1
2 3445	3 10	1	1
2 729	3 10	1	1
3 4807	3 11	1	1
1 3278	3 11	1	1
1 4208	3 11	1	1
2 2059	3 11	1	1
2 2061	3 11	1	1
0 4920	3 11	1	1
3 2683	3 12	1	1
3 1295	3 12	1	1
3 4949	3 12	1	1
2 3070	3 12	1	1
2 2009	3 12	1	1
2 3618	3 12	1	1
3 911	3 13	1	1
1 1433	3 13	1	1
1 3761	3 13	1	1
2 4560	3 13	1	1
2 2484	3 13	1	1
1 3714	3 13	1	1
3 1104	3 14	1	1
3 4996	3 14	1	1
0 4485	3 14	1	1
0 4930	3 14	1	1
1 1693	3 14	1	1
0 396	3 14	1	1
3 1824	3 15	1	1
3 3780	3 15	1	1
3 1481	3 15	1	1
3 4874	3 15	1	1
0 3817	3 15	1	1
2 1798	3 15	1	1
3 3615	3 16	1	1
3 4454	3 16	1	1
1 3779	3 16	1	1
1 1599	3 16	1	1
2 4079	3 16	1	1
0 2301	3 16	1	1
0 2402	3 17	1	1
1 2973	3 17	1	1
1 1350	3 17	1	1
1 2233	3 17	1	1
2 4746	3 17	1	1
2 2962	3 17	1	1
3 661	3 18	1	1
3 1594	3 18	1	1
0 3411	3 18	1	1
2 2478	3 18	1	1
2 4466	3 18	1	1
2 4144	3 18	1	1
0 2777	3 19	1	1
0 666	3 19	1	1
0 3150	3 19	1	1
1 4164	3 19	1	1
1 3988	3 19	1	1
1 1477	3 19	1	1
3 2068	3 20	1	1
3 2848	3 20	1	1
0 3854	3 20	1	1
0 2471	3 20	1	1
2 138	3 20	1	1
2 1800	3 20	1	1
3 2934	3 21	1	1
0 410	3 21	1	1
1 4793	3 21	1	1
2 3340	3 21	1	1
0 2956	3 21	1	1
0 3252	3 21	1	1
3 760	3 22	1	1
3 1209	3 22	1	1
0 2208	3 22	1	1
1 2625	3 22	1	1
1 2941	3 22	1	1
2 460	3 22	1	1
0 3593	3 23	1	1
0 141	3 23	1	1
1 2017	3 23	1	1
2 551	3 23	1	1
2 4039	3 23	1	1
0 2040	3 23	1	1
3 863	3 24	1	1
3 3413	3 24	1	1
0 2458	3 24	1	1
1 3474	3 24	1	1
2 4730	3 24	1	1
0 3119	3 24	1	1
3 74	3 25	1	1
3 2402	3 25	1	1
0 1293	3 25	1	1
0 3100	3 25	1	1
1 2315	3 25	1	1
1 4154	3 25	1	1
3 2336	3 26	1	1
3 3236	3 26	1	1
3 4295	3 26	1	1
0 4728	3 26	1	1
0 993	3 26	1	1
1 3033	3 26	1	1
0 3438	3 27	1	1
0 1322	3 27	1	1
0 1418	3 27	1	1
1 685	3 27	1	1
2 2334	3 27	1	1
1 1428	3 27	1	1
3 1192	3 28	1	1
3 4666	3 28	1	1
3 2054	3 28	1	1
1 2512	3 28	1	1
2 3900	3 28	1	1
2 1941	3 28	1	1
3 4066	3 29	1	1
3 474	3 29	1	1
0 3690	3 29	1	1
1 816	3 29	1	1
2 4129	3 29	1	1
2 1709	3 29	1	1
3 2679	3 30	1	1
3 2574	3 30	1	1
0 1578	3 30	1	1
1 2360	3 30	1	1
1 3385	3 30	1	1
2 2659	3 30	1	1
0 926	3 31	1	1
0 1699	3 31	1	1
2 2531	3 31	1	1
2 4687	3 31	1	1
2 1433	3 31	1	1
1 2284	3 31	1	1
0 492	3 32	1	1
1 368	3 32	1	1
2 2259	3 32	1	1
1 2608	3 32	1	1
2 1586	3 32	1	1
0 1611	3 32	1	1
3 3864	3 33	1	1
3 4856	3 33	1	1
0 2035	3 33	1	1
2 2878	3 33	1	1
2 1674	3 33	1	1
1 3081	3 33	1	1
3 3841	3 34	1	1
3 3182	3 34	1	1
1 1793	3 34	1	1
2 2663	3 34	1	1
2 2976	3 34	1	1
0 2972	3 34	1	1
3 2510	3 35	1	1
3 667	3 35	1	1
0 3329	3 35	1	1
2 916	3 35	1	1
2 1594	3 35	1	1
2 4254	3 35	1	1
3 4407	3 36	1	1
0 1034	3 36	1	1
1 1041	3 36	1	1
2 215	3 36	1	1
2 2865	3 36	1	1
2 4742	3 36	1	1
3 2181	3 37	1	1
1 968	3 37	1	1
1 2832	3 37	1	1
2 244	3 37	1	1
2 4664	3 37	1	1
2 2986	3 37	1	1
3 352	3 38	1	1
3 1499	3 38	1	1
0 853	3 38	1	1
2 972	3 38	1	1
2 1751	3 38	1	1
2 4170	3 38	1	1
3 2564	3 39	1	1
3 3219	3 39	1	1
3 3186	3 39	1	1
0 3829	3 39	1	1
0 636	3 39	1	1
1 1043	3 39	1	1
0 76	3 40	1	1
1 2072	3 40	1	1
1 4149	3 40	1	1
2 2850	3 40	1	1
2 4364	3 40	1	1
2 4765	3 40	1	1
3 911	3 41	1	1
3 2331	3 41	1	1
0 4154	3 41	1	1
1 897	3 41	1	1
2 2755	3 41	1	1
0 1330	3 41	1	1
0 4951	3 42	1	1
0 3292	3 42	1	1
1 4583	3 42	1	1
1 1778	3 42	1	1
1 924	3 42	1	1
0 3111	3 42	1	1
3 1349	3 43	1	1
0 1915	3 43	1	1
0 3768	3 43	1	1
1 1781	3 43	1	1
0 2555	3 43	1	1
0 3833	3 43	1	1
3 1718	3 44	1	1
3 31	3 44	1	1
0 241	3 44	1	1
1 4479	3 44	1	1
0 1251	3 44	1	1
1 2550	3 44	1	1
0 3142	3 45	1	1
0 4621	3 45	1	1
0 3343	3 45	1	1
1 1986	3 45	1	1
2 1121	3 45	1	1
0 2641	3 45	1	1
0 4971	3 46	1	1
1 3601	3 46	1	1
1 4055	3 46	1	1
