# 5000 of 40000
# Minimum x: 0
# Minimum y: 0
# Minimum z: 0
# Maximum x: 36
# Maximum y: 36
# Maximum z: 36
# <local id> <pos x> <pos y> <pos z> <type>
# Number of local subdomains: 1
# Local subdomain 0 boundaries (18, -0, 18) - (36, 18, 36)
1 27.9806666765362 0.368945698486641 30.9767881408334 ex
2 35.7352934521623 3.66263589868322 30.0928418247495 ex
3 21.7102880047169 17.8077117919456 24.4153167740442 ex
4 32.1361592181493 2.30660049873404 27.3579335601535 ex
5 33.8935772154946 4.33792296610773 32.8867543602828 ex
6 33.3901477521285 10.1504000755958 34.9325105093885 ex
7 35.7500713707414 4.85850282688625 35.3634234669153 ex
8 25.3707439790014 6.67068886756897 25.0297128781676 ex
9 21.3809017429594 4.24814379191957 28.0286209918559 ex
10 22.3931301678531 16.5294345184229 34.1457930947654 ex
11 20.6005334460642 8.05576682183892 34.7560563690495 ex
12 28.9222438142169 8.66758619854227 18.4228313423228 ex
13 32.589715301292 16.2626394631807 19.9579799876083 ex
14 33.2014966274146 1.45542381913401 28.4251536065713 ex
15 33.806588153122 10.9733673366718 23.2254663885105 ex
16 26.2388630213682 2.21942228870466 22.8566764732823 ex
17 32.760915429797 6.53164942585863 27.6174332797527 ex
18 26.6579715742264 5.67292175581679 34.2281481286045 ex
19 35.6318307826295 8.34219810622744 23.6699854577892 ex
20 20.9695865816902 8.54591198917478 29.2189492639154 ex
21 28.3913621681277 2.2134617313277 24.5313346514013 ex
22 25.2293238879647 14.1884359335527 21.0427336168941 ex
23 19.8257156852633 4.22901289677247 28.5329968228471 ex
24 30.7182113749441 9.15895001543686 20.5037063814234 ex
25 25.3807866571005 5.66084473091178 21.1292039023247 ex
26 24.863694222644 9.49799222778529 32.1427115346305 ex
27 34.5904377482366 15.728435809724 23.1674138421658 ex
28 19.7804645912256 1.44166853628121 24.359073651256 ex
29 28.5501290387474 6.99094357015565 32.9682095192838 ex
30 19.0123534083832 0.631956782657653 23.4797878931277 ex
