# Total number neurons: 4000
# Local number neurons: 2000
# Number MPI ranks: 2
# Current simulation step: 1003
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
0 1	0 512	1	1
0 1	1 874	1	1
0 1	1 1430	1	1
0 1	1 1507	1	1
0 1	1 1778	1	1
0 2	0 878	1	1
0 2	0 1979	1	1
0 2	0 613	1	1
0 2	0 759	1	1
0 2	0 1478	1	1
0 3	0 753	1	1
0 3	1 1467	1	1
0 3	1 1523	1	1
0 3	1 865	1	1
0 3	1 1851	1	1
0 4	0 1633	1	1
0 4	0 1296	1	1
0 4	0 107	1	1
0 4	1 1611	1	1
0 4	1 1341	1	1
0 5	0 76	1	1
0 5	0 804	1	1
0 5	0 1883	1	1
0 5	1 1934	1	1
0 5	1 1948	1	1
0 6	0 1826	1	1
0 6	1 1975	1	1
0 6	1 705	1	1
0 6	1 405	1	1
0 6	1 1757	1	1
0 7	0 1454	1	1
0 7	0 1284	1	1
0 7	0 1791	1	1
0 7	1 663	1	1
0 7	1 145	1	1
0 8	0 303	1	1
0 8	0 1723	1	1
0 8	0 833	1	1
0 8	1 1128	1	1
0 8	1 1223	1	1
0 9	0 1543	1	1
0 9	0 979	1	1
0 9	0 1886	1	1
0 9	1 494	1	1
0 9	1 925	1	1
0 10	0 1767	1	1
0 10	0 1178	1	1
0 10	0 706	1	1
0 10	1 1083	1	1
0 10	1 900	1	1
0 11	0 1230	1	1
0 11	0 533	1	1
0 11	1 1400	1	1
0 11	1 19	1	1
0 11	1 548	1	1
0 12	0 783	1	1
0 12	0 1486	1	1
0 12	0 737	1	1
0 12	1 1874	1	1
0 12	1 379	1	1
0 13	0 220	1	1
0 13	0 1122	1	1
0 13	1 1467	1	1
0 13	1 223	1	1
0 13	1 1560	1	1
0 14	0 1107	1	1
0 14	0 397	1	1
0 14	0 444	1	1
0 14	1 766	1	1
0 14	1 832	1	1
0 15	0 1115	1	1
0 15	0 1647	1	1
0 15	1 204	1	1
0 15	1 858	1	1
0 15	1 1027	1	1
0 16	0 456	1	1
0 16	1 1703	1	1
0 16	1 1885	1	1
0 16	1 933	1	1
0 16	1 707	1	1
0 17	0 327	1	1
0 17	0 1593	1	1
0 17	0 1785	1	1
0 17	1 1741	1	1
0 17	1 1326	1	1
0 18	0 561	1	1
0 18	1 1835	1	1
0 18	1 1411	1	1
0 18	1 690	1	1
0 18	1 1852	1	1
0 19	0 163	1	1
0 19	0 1249	1	1
0 19	0 994	1	1
0 19	1 161	1	1
0 19	1 1553	1	1
0 20	0 1591	1	1
0 20	0 1972	1	1
0 20	0 377	1	1
0 20	1 1583	1	1
0 20	1 948	1	1
0 21	0 1635	1	1
0 21	0 1759	1	1
0 21	1 5	1	1
0 21	1 1886	1	1
0 21	1 221	1	1
0 22	0 1848	1	1
0 22	0 793	1	1
0 22	0 1797	1	1
0 22	0 66	1	1
0 22	1 654	1	1
0 23	0 1305	1	1
0 23	0 337	1	1
0 23	0 957	1	1
0 23	1 1731	1	1
0 23	1 832	1	1
0 24	0 1412	1	1
0 24	0 1799	1	1
0 24	0 1628	1	1
0 24	0 474	1	1
0 24	1 101	1	1
0 25	0 1693	1	1
0 25	0 1849	1	1
0 25	1 895	1	1
0 25	1 610	1	1
0 25	1 1332	1	1
0 26	0 344	1	1
0 26	0 1694	1	1
0 26	0 1923	1	1
0 26	1 1142	1	1
0 26	1 571	1	1
0 27	0 1138	1	1
0 27	0 1892	1	1
0 27	1 778	1	1
0 27	1 1777	1	1
0 27	1 204	1	1
0 28	0 590	1	1
0 28	0 1309	1	1
0 28	1 1171	1	1
0 28	1 1679	1	1
0 28	1 1970	1	1
0 29	0 211	1	1
0 29	0 985	1	1
0 29	1 1909	1	1
0 29	1 1537	1	1
0 29	1 468	1	1
0 30	0 1153	1	1
0 30	0 1669	1	1
0 30	1 1009	1	1
0 30	1 1007	1	1
0 30	1 1032	1	1
0 31	1 1074	1	1
0 31	1 55	1	1
0 31	1 35	1	1
0 31	1 1356	1	1
0 31	1 1029	1	1
0 32	0 1575	1	1
0 32	1 1811	1	1
0 32	1 1204	1	1
0 32	1 1126	1	1
0 32	1 391	1	1
0 33	0 1216	1	1
0 33	0 548	1	1
0 33	0 1113	1	1
0 33	0 1500	1	1
0 33	1 1045	1	1
0 34	0 1184	1	1
0 34	0 1672	1	1
0 34	0 983	1	1
0 34	1 679	1	1
0 34	1 1387	1	1
0 35	0 1836	1	1
0 35	0 901	1	1
0 35	0 939	1	1
0 35	0 468	1	1
0 35	1 1526	1	1
0 36	0 500	1	1
0 36	0 1863	1	1
0 36	0 516	1	1
0 36	0 1209	1	1
0 36	0 1146	1	1
0 37	0 1722	1	1
0 37	1 1363	1	1
0 37	1 205	1	1
0 37	1 1539	1	1
0 37	1 1664	1	1
0 38	0 1824	1	1
0 38	0 586	1	1
0 38	1 1522	1	1
0 38	1 355	1	1
0 38	1 1466	1	1
0 39	0 1202	1	1
0 39	0 301	1	1
0 39	0 1264	1	1
0 39	0 264	1	1
0 39	0 1318	1	1
0 40	0 1964	1	1
0 40	0 594	1	1
0 40	1 952	1	1
0 40	1 1093	1	1
0 40	1 475	1	1
0 41	0 580	1	1
0 41	0 104	1	1
0 41	1 1073	1	1
0 41	1 266	1	1
0 41	1 1462	1	1
0 42	0 400	1	1
0 42	0 1931	1	1
0 42	0 865	1	1
0 42	0 1091	1	1
0 42	1 1236	1	1
0 43	0 343	1	1
0 43	0 1211	1	1
0 43	0 1488	1	1
0 43	0 680	1	1
0 43	1 1394	1	1
0 44	0 985	1	1
0 44	1 106	1	1
0 44	1 113	1	1
0 44	1 1976	1	1
0 44	1 1162	1	1
0 45	0 1871	1	1
0 45	0 1992	1	1
0 45	1 922	1	1
0 45	1 310	1	1
0 45	1 1605	1	1
0 46	0 215	1	1
0 46	1 884	1	1
0 46	1 556	1	1
0 46	1 1604	1	1
0 46	1 1860	1	1
0 47	0 205	1	1
0 47	0 121	1	1
0 47	1 980	1	1
0 47	1 1963	1	1
0 47	1 466	1	1
0 48	0 1873	1	1
0 48	1 983	1	1
0 48	1 879	1	1
0 48	1 1527	1	1
0 48	1 836	1	1
0 49	0 1416	1	1
0 49	0 453	1	1
0 49	1 914	1	1
0 49	1 26	1	1
0 49	1 334	1	1
0 50	0 1032	1	1
0 50	1 1989	1	1
0 50	1 343	1	1
0 50	1 1517	1	1
0 50	1 1884	1	1
0 51	0 1507	1	1
0 51	0 1426	1	1
0 51	0 723	1	1
