# Total number neurons: 4000
# Local number neurons: 2000
# Number MPI ranks: 2
# Current simulation step: 1003
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
0 1675	0 1	1	1
0 1133	0 1	1	1
0 1078	0 1	1	1
1 49	0 1	1	1
1 819	0 1	1	1
0 111	0 2	1	1
1 1246	0 2	1	1
1 1671	0 2	1	1
1 915	0 2	1	1
1 1294	0 2	1	1
0 612	0 3	1	1
0 293	0 3	1	1
0 1833	0 3	1	1
1 1065	0 3	1	1
1 14	0 3	1	1
0 1825	0 4	1	1
0 112	0 4	1	1
0 1953	0 4	1	1
1 913	0 4	1	1
1 199	0 4	1	1
0 243	0 5	1	1
0 656	0 5	1	1
1 181	0 5	1	1
1 1502	0 5	1	1
1 629	0 5	1	1
0 1896	0 6	1	1
0 81	0 6	1	1
0 1300	0 6	1	1
0 708	0 6	1	1
1 1121	0 6	1	1
0 1722	0 7	1	1
0 1704	0 7	1	1
0 548	0 7	1	1
1 1731	0 7	1	1
1 771	0 7	1	1
0 890	0 8	1	1
0 1823	0 8	1	1
1 953	0 8	1	1
1 64	0 8	1	1
1 1356	0 8	1	1
0 1865	0 9	1	1
0 452	0 9	1	1
1 1722	0 9	1	1
1 1732	0 9	1	1
1 103	0 9	1	1
0 575	0 10	1	1
0 822	0 10	1	1
0 1222	0 10	1	1
1 812	0 10	1	1
1 709	0 10	1	1
1 1850	0 11	1	1
1 82	0 11	1	1
1 837	0 11	1	1
1 1526	0 11	1	1
1 1206	0 11	1	1
0 925	0 12	1	1
0 856	0 12	1	1
0 1508	0 12	1	1
1 89	0 12	1	1
1 1065	0 12	1	1
0 869	0 13	1	1
0 73	0 13	1	1
0 1323	0 13	1	1
1 282	0 13	1	1
1 405	0 13	1	1
0 932	0 14	1	1
0 1367	0 14	1	1
1 528	0 14	1	1
1 424	0 14	1	1
1 679	0 14	1	1
0 742	0 15	1	1
1 1987	0 15	1	1
1 1543	0 15	1	1
1 353	0 15	1	1
1 458	0 15	1	1
0 1068	0 16	1	1
0 519	0 16	1	1
0 1323	0 16	1	1
1 747	0 16	1	1
1 874	0 16	1	1
0 1344	0 17	1	1
0 952	0 17	1	1
0 775	0 17	1	1
1 663	0 17	1	1
1 1186	0 17	1	1
0 721	0 18	1	1
0 634	0 18	1	1
1 1991	0 18	1	1
1 1791	0 18	1	1
1 1412	0 18	1	1
0 1140	0 19	1	1
0 901	0 19	1	1
0 360	0 19	1	1
0 437	0 19	1	1
1 1601	0 19	1	1
0 1390	0 20	1	1
0 1827	0 20	1	1
1 329	0 20	1	1
1 1888	0 20	1	1
1 1863	0 20	1	1
0 580	0 21	1	1
0 444	0 21	1	1
1 680	0 21	1	1
1 530	0 21	1	1
1 1087	0 21	1	1
0 1615	0 22	1	1
0 680	0 22	1	1
0 413	0 22	1	1
1 1793	0 22	1	1
1 1086	0 22	1	1
0 1253	0 23	1	1
0 574	0 23	1	1
